id	arm	review	part	severity	target	file	title	what_is_wrong
F0001	W	7	b	Critical	(other)	`internal/exports/model.go` — `(*Store).Due`; `internal/exports/worker.go` — `(*Worker).tick`	"""claimed by one worker"" is documented but nothing claims anything"	"`Due` is a plain `SELECT ... WHERE enabled AND next_run_at <= $1` with no `FOR UPDATE SKIP LOCKED`, no claim column, and no transaction, and `tick` runs every returned schedule immediately — so N workers polling the same 30-second window all select the same rows and all export them, while `docs/scheduled-exports.md` asserts ""a schedule is claimed by one worker, so a due run happens once even with several workers live""."
F0002	W	25	b	Major	(other)	`internal/exports/worker.go` — `maxRows`, `(*Worker).export` `LIMIT %d` with `ORDER BY occurred_at`	500 000 rows is a silent cap on an ordering key with no total order	the query truncates at `maxRows` with no signal — nothing compares the returned count to the cap — and it orders on `occurred_at` alone, which ties freely at sub-second resolution, so which rows fall on either side of the cut is undefined (R57).
F0003	W	4	b	Major	(other)	internal/exports/worker.go — `maxRows` and the `LIMIT %d` in `Worker.export`; `var buf bytes.Buffer` / `client.Put(ctx, …, buf.Bytes(), …)`	500 000-row cap truncates the export silently and the whole object is buffered in memory	the query caps rows at `maxRows` with no way to tell a capped result from a complete one — `serialize` returns `n` and `runSchedule` logs it but never compares it to the limit — and the entire serialized object is accumulated in a single in-process `bytes.Buffer` before upload.
F0004	W	3	c	Major	(other)	internal/exports/worker.go — `(*Worker).export`, `LIMIT %d` with `maxRows = 500000`	A window larger than maxRows is silently truncated and reported as succeeded	The query caps the result set with no check on whether the cap was reached, so a busy window produces a short file, `n` reports the truncated count, and the run is recorded `succeeded`.
F0005	W23	24	c	Major	(other)	internal/exports/worker.go — `serialize`, the `else` branch `record[col] = values[i]`, versus `formatValue`	CSV and JSONL do not carry the same values	"The JSONL branch encodes the raw `any` produced by `rows.Scan`, so `[]byte` columns are emitted as base64 and `time.Time` columns keep the connection's offset, while the CSV branch runs the same values through `formatValue`, which converts `[]byte` to text and forces `t.UTC()` — docs/scheduled-exports.md states JSONL carries ""those same keys and the same values"" and that ""timestamps are RFC 3339 in UTC"" (R40: two producers of one documented shape, and the JSONL branch reimplements value rendering that `formatValue` in the same file already performs — R1)."
F0006	W23	9	c	Major	(other)	`internal/exports/worker.go` — `serialize` JSONL branch (`record[col] = values[i]`) vs CSV branch (`formatValue(values[i])`)	CSV and JSONL do not carry the same values, against the documented guarantee	The two formats render one column by two different rules — the CSV branch routes every value through `formatValue` (`[]byte` → string, `time.Time` → UTC RFC 3339), while the JSONL branch hands the raw driver value to `encoding/json`, which base64-encodes `[]byte` (how most drivers return text, UUID, and JSON columns) and marshals timestamps in the connection's offset rather than UTC (R48: two adjudicators for one predicate; R40 against the doc's stated wire shape).
F0007	W23	19	b	Major	(other)	`internal/exports/worker.go` — `serialize` (JSONL branch `record[col] = values[i]`) vs `formatValue`	CSV and JSONL do not emit the same values, though the docs say they do	"the CSV branch routes every value through `formatValue`, which forces `time.Time` to `t.UTC().Format(time.RFC3339)` and renders `[]byte` as a string, while the JSONL branch hands the raw driver value to `encoding/json` — which emits `time.Time` in whatever location the driver returned (not forced to UTC) and base64-encodes any `[]byte`; the shared formatter exists in the same file and the JSONL path simply does not use it (R1: a reimplementation of value rendering by omission), and `TestFormatValueRendersScalarsForCSV` exercises only the CSV branch, so the divergence is untested. `docs/scheduled-exports.md` states JSONL carries ""those same keys and the same values"" and that ""Timestamps are RFC 3339 in UTC""."
F0008	W23	17	a	Major	(other)	internal/exports/worker.go — `serialize`, the JSONL branch `record[col] = values[i]` versus the CSV branch `record[i] = formatValue(values[i])`	CSV and JSONL emit different values for the same column	"only the CSV path normalises scalars, so in JSONL a `[]byte` — which is what `database/sql` yields for text and bytea columns on most drivers — is marshalled by `encoding/json` as base64, and a `time.Time` is marshalled in whatever offset the driver returned rather than the RFC 3339 UTC that `formatValue` produces; `docs/scheduled-exports.md` states JSONL files carry ""the same keys and the same values"" and that timestamps are ""RFC 3339 in UTC"" (R48: two adjudicators of one predicate, disagreeing by construction)."
F0009	W	25	c	Major	(other)	`internal/exports/worker.go` — `serialize`, CSV branch uses `formatValue(values[i])` while the JSONL branch does `record[col] = values[i]` and `enc.Encode(record)`	CSV and JSONL emit different values for the same row, contradicting the documented equivalence	"two code paths adjudicate ""how is this database value rendered"" by different semantics — `formatValue` turns `[]byte` into a string, `time.Time` into RFC 3339 UTC and `nil` into `""""`, whereas `encoding/json` base64-encodes `[]byte`, emits `null`, and formats `time.Time` in the value's own location — while `docs/scheduled-exports.md` states JSONL carries ""those same keys and the same values"" and ""timestamps are RFC 3339 in UTC"" (R48)."
F0010	W23	10	c	Major	(other)	`internal/exports/worker.go` — `serialize`'s JSONL branch, `record[col] = values[i]`	CSV and JSONL render the same row differently, contrary to the documented guarantee	"The CSV branch routes every value through `formatValue` (which stringifies `[]byte` and forces `time.Time` to UTC RFC 3339) while the JSONL branch hands the raw driver value to `encoding/json`, which base64-encodes `[]byte` and emits `time.Time` in whatever zone the driver returned — two adjudicators of one predicate (""how is a value rendered"") with different semantics (R48), against a doc promising JSONL carries ""those same keys and the same values"" and ""timestamps are RFC 3339 in UTC""."
