cluster_id	status	n	member_ids	claim
B2TD-01	existing	2	F1189,F1190	docs/webhooks.md describes the deliveries route as returning the most recent attempts for an endpoint belonging to your organization, a scoping the list_deliveries handler does not implement.
DELIVERY-01	existing	54	F0470,F0472,F0558,F0559,F0560,F0561,F0562,F0563,F0564,F0565,F0566,F0567,F0568,F0569,F0570,F0571,F0572,F0573,F0574,F0575,F0576,F0577,F0578,F0579,F0580,F0581,F0582,F0583,F0584,F0585,F0586,F0587,F0588,F0589,F0590,F0591,F0592,F0593,F0594,F0595,F0596,F0597,F0598,F0599,F0600,F0601,F0602,F0603,F0604,F0606,F0607,F0608,F0609,F0841	deliver backs off with the blocking time.sleep(delay) inside an async coroutine, stalling the event loop and every other gathered delivery for the duration.
DELIVERY-02	existing	50	F0387,F0388,F0389,F0390,F0391,F0392,F0393,F0394,F0395,F0396,F0397,F0398,F0399,F0400,F0401,F0402,F0403,F0404,F0405,F0406,F0407,F0408,F0409,F0410,F0411,F0417,F0418,F0423,F0424,F0425,F0626,F0627,F0630,F0636,F0637,F0875,F0881,F0882,F0883,F0884,F0885,F0886,F0887,F0888,F0889,F0890,F0891,F0900,F0901,F0902	_claim_batch returns ORM rows loaded inside with session_scope(), so later attribute reads in deliver and send_once touch detached, expired instances.
DELIVERY-04	existing	53	F0414,F0415,F0416,F0615,F0631,F0751,F0752,F0753,F0754,F0755,F0756,F0757,F0758,F0759,F0760,F0761,F0762,F0763,F0764,F0765,F0766,F0767,F0768,F0769,F0770,F0771,F0772,F0773,F0774,F0801,F0802,F0803,F0804,F0805,F0806,F0807,F0808,F0809,F0810,F0811,F0812,F0813,F0814,F0815,F0816,F0817,F0818,F0819,F0820,F0821,F0836,F0837,F0838	_acquire_lock reads LOCK_KEY and then sets it as separate operations, so two workers that both observe an empty key both acquire the lock.
DELIVERY-08	existing	4	F0420,F0426,F0427,F0785	_claim_batch selects pending rows with no FOR UPDATE SKIP LOCKED and no conditional update, so concurrent claimers can select and deliver the same rows.
DELIVERY-09	existing	44	F0485,F0486,F0487,F0488,F0489,F0490,F0491,F0492,F0493,F0494,F0495,F0496,F0497,F0498,F0499,F0500,F0501,F0502,F0503,F0504,F0505,F0506,F0507,F0508,F0509,F0510,F0511,F0512,F0513,F0514,F0515,F0516,F0517,F0518,F0519,F0520,F0521,F0522,F0523,F0628,F0629,F0650,F0738,F0739	rows flipped to in_flight by _claim_batch are moved on only by _finish and nothing resets stale in_flight rows, so a crash or unhandled exception strands them outside the pending query permanently.
DELIVERY-10	existing	10	F0524,F0619,F0726,F0728,F0729,F0840,F0854,F0855,F0856,F0857	retry state is held in the local attempt counter and attempts/next_attempt_at are written only by the terminal _finish, so progress is lost across restarts and the next_attempt_at schedule is never used.
DELIVERY-11	existing	33	F0376,F0377,F0378,F0379,F0380,F0381,F0382,F0383,F0384,F0385,F0386,F0649,F0730,F0731,F0732,F0733,F0734,F0735,F0736,F0737,F0831,F0842,F0843,F0844,F0845,F0846,F0847,F0848,F0849,F0850,F0851,F0852,F0853	deliver treats every response outside 200-299 as retryable and re-POSTs it up to MAX_ATTEMPTS, so a 4xx is retried instead of being marked permanent immediately.
DELIVERY-12	existing	6	F0620,F0621,F0633,F0727,F0822,F0823	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds with no randomisation, so there is no jitter and deliveries failing together retry at the same instants.
DELIVERY-13	existing	50	F0478,F0479,F0480,F0481,F0482,F0483,F0526,F0527,F0610,F0611,F0665,F0667,F0668,F0669,F0670,F0671,F0672,F0673,F0674,F0675,F0676,F0677,F0678,F0679,F0680,F0681,F0682,F0683,F0684,F0685,F0686,F0687,F0688,F0689,F0690,F0691,F0692,F0693,F0694,F0695,F0696,F0697,F0698,F0699,F0700,F0701,F0702,F0892,F0893,F0894	enqueue_for_event writes next_attempt_at=datetime.utcnow(), a naive value, while _claim_batch compares against the aware datetime.now(timezone.utc).
DELIVERY-14	existing	39	F0428,F0429,F0430,F0431,F0432,F0433,F0434,F0435,F0436,F0437,F0438,F0439,F0440,F0441,F0442,F0443,F0444,F0445,F0446,F0447,F0448,F0449,F0450,F0451,F0452,F0453,F0454,F0455,F0456,F0457,F0458,F0459,F0460,F0461,F0462,F0463,F0466,F0555,F0556	_finish assigns row.status immediately after session.get without a None check, raising AttributeError when the delivery row no longer exists.
DELIVERY-15	existing	1	F0471	deliver passes the result of session.get(m.WebhookEndpoint, ...) to send_once with no None check, so a deleted endpoint row raises AttributeError inside the retry loop.
DELIVERY-17	existing	15	F0552,F0613,F0614,F0616,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F0715,F0716,F0717	asyncio.gather is called without return_exceptions=True, so the first delivery to raise propagates out and its sibling coroutines are abandoned.
DELIVERY-18	existing	12	F0468,F0469,F0535,F0536,F0537,F0538,F0539,F0547,F0548,F0549,F0550,F0551	batch is assigned only inside the try while if not batch is evaluated after the try/finally, so a failure in _claim_batch can reach the test with batch unbound.
DELIVERY-19	existing	1	F0484	the delivery AsyncClient is constructed with follow_redirects=True, so a receiver can redirect the signed payload and its signature headers to another host.
