cluster_id	n	member_ids	claim	status
BULK-01	47	G0005,G0019,G0029,G0041,G0053,G0066,G0078,G0090,G0105,G0114,G0124,G0135,G0147,G0158,G0171,G0181,G0193,G0208,G0218,G0231,G0245,G0255,G0267,G0281,G0293,G0310,G0321,G0335,G0349,G0363,G0377,G0388,G0398,G0411,G0424,G0437,G0448,G0461,G0475,G0488,G0500,G0513,G0526,G0551,G0565,G0577,G0590	`runImport` performs stage, apply and delete as independently committing steps with no transaction, and the `importStaging.deleteMany` cleanup sits on the success path only, so an error inside `applyBatch` leaves memberships partially applied and the batch's staging rows resident.	existing
BULK-03	36	G0003,G0015,G0036,G0048,G0064,G0100,G0111,G0134,G0145,G0157,G0167,G0178,G0192,G0228,G0241,G0254,G0266,G0279,G0292,G0306,G0319,G0333,G0346,G0362,G0374,G0408,G0422,G0436,G0447,G0485,G0512,G0524,G0548,G0563,G0575,G0588	Nothing bounds the role a CSV row grants against the actor's own role: the route admits `session.role === "admin"`, `ALLOWED_ROLES` accepts `"owner"`, and `applyBatch` writes `row.role` into both the create and update branches of the membership upsert.	existing
BULK-02	30	G0004,G0018,G0040,G0054,G0065,G0079,G0104,G0159,G0182,G0194,G0230,G0244,G0268,G0282,G0294,G0322,G0367,G0376,G0387,G0399,G0410,G0449,G0462,G0487,G0504,G0527,G0552,G0564,G0576,G0591	`batchId` is `${ctx.orgId}-${ctx.requestId}` where `requestId` is the unvalidated client `x-request-id` header, and `import_staging` carries no tenant column and no uniqueness constraint, so the caller names the sole key that `applyBatch`'s `findMany` and `runImport`'s `deleteMany` select on.	existing
BULK-06	9	G0012,G0020,G0092,G0142,G0209,G0270,G0355,G0529,G0595	`applyBatch` loads the whole batch with an unbounded `findMany` and issues one awaited `upsert` per row inside the HTTP request, with no row-count cap and none of the chunking `stageRows` applies.	existing
BULK-04	5	G0024,G0046,G0187,G0221,G0469	The only email validation in the change is `applyBatch`'s `row.email.includes("@")`, applied inside the promotion loop rather than at the parse boundary, and it admits values such as `"@"`, `"a@"`, and addresses with no length or format bound.	existing
BULK-11	5	G0131,G0359,G0433,G0443,G0508	Rejected rows are reported only as an integer count with no row identity or reason, and the staging rows that would identify them are deleted in the same request.	existing
BULK-27	3	G0495,G0521,G0584	`parseRows` tests the role cell against `ALLOWED_ROLES` case-sensitively while lowercasing the email two lines above, so `Admin` or `OWNER` fails the allowlist and is silently coerced to `member`.	new
BULK-07	2	G0262,G0419	`stageRows` increments `staged` by `chunk.length` instead of the `count` returned by `createMany`, so `ImportSummary.staged` reports rows submitted rather than rows inserted.	existing
BULK-08	2	G0080,G0416	`docs/import.md` and the `applyBatch` docstring state that the staging writes are the single audit exception and that the promotion step runs audited as normal, which the implementation does not deliver.	existing
BULK-09	2	G0214,G0383	Nothing de-duplicates parsed rows by email, so the same address listed twice in one CSV is upserted twice and increments `applied` twice for a single resulting membership.	existing
BULK-24	2	G0030,G0055	The `MAX_CSV_BYTES` gate runs after `await req.text()` has already buffered the entire body, and it compares `csv.length` — UTF-16 code units — against a byte limit, so a multi-byte body passes a gate documented as 5 MB at roughly three times that many bytes.	new
BULK-25	2	G0186,G0311	`parseRows` resolves column positions with `cols.indexOf(...)`, which returns `-1` for an absent column, and `f[-1] ?? ""` then yields an empty string for every row, so a CSV whose header omits `email` parses without error and every row is silently rejected later.	new
BULK-05	1	G0560	The upsert's `update` branch unconditionally rewrites `role` on an existing membership while `parseRows` coerces a missing or unrecognised role cell to the literal `"member"`, so a CSV that omits the role column silently demotes existing members.	existing
BULK-10	1	G0057	`runImport` stages, promotes and deletes the batch inside one request and no route exposes a staged batch, so the "operator can inspect before applying" step that `docs/import.md` and the `stageRows` comment describe has no backing path.	existing
BULK-15	1	G0586	`enterSystemOperation` sets `skipAudit = true` on the request-scoped `RequestContext` and nothing ever clears it, so the audit exemption granted for the staging writes persists for the remainder of the request, including the promotion upserts.	existing
BULK-18	1	G0303	The `staged`, `applied` and `rejected` counters do not reconcile against the uploaded file — rows dropped by `parseRows` and rows never attempted after an early exit are counted nowhere.	existing
BULK-26	1	G0489	The new `POST` import route carries no rate limiting, so a caller can invoke the endpoint repeatedly with no per-caller throttle.	new
CTX-01	47	G0001,G0013,G0026,G0037,G0049,G0062,G0074,G0086,G0098,G0109,G0120,G0132,G0143,G0155,G0165,G0176,G0190,G0202,G0215,G0227,G0240,G0252,G0264,G0278,G0290,G0304,G0317,G0331,G0344,G0360,G0372,G0384,G0394,G0406,G0421,G0434,G0445,G0458,G0471,G0483,G0498,G0510,G0522,G0535,G0546,G0561,G0573	`enterSystemOperation()` sets `skipAudit = true` on the live `RequestContext` object held by the `AsyncLocalStorage` frame and nothing ever restores it, so the audit exemption lasts for the whole request instead of the staging write it was granted for.	existing
CTX-02	46	G0010,G0023,G0034,G0045,G0060,G0069,G0083,G0097,G0107,G0119,G0129,G0140,G0153,G0163,G0175,G0189,G0201,G0212,G0226,G0237,G0249,G0263,G0274,G0287,G0301,G0316,G0329,G0341,G0358,G0371,G0382,G0392,G0403,G0418,G0431,G0442,G0456,G0468,G0507,G0520,G0534,G0545,G0559,G0571,G0583,G0597	`contextSnapshot()` is added and exported with no call site anywhere in the diff, and its `Readonly<RequestContext>` return is a compile-time-only annotation over a shallow spread that provides no runtime immutability.	existing
CTX-03	3	G0247,G0402,G0429	The diff's new and changed production symbols — `enterSystemOperation`, `contextSnapshot`, `runImport`, `ImportSummary`, `POST`, and the rewritten `assertAudited` — ship with no test, the only test file being `test/import/parse.test.ts`, which covers `parseRows` alone.	existing
CTX-05	6	G0033,G0259,G0340,G0369,G0430,G0467	`docs/import.md` and the `enterSystemOperation` doc comment state guarantees the implementation does not provide — that staging writes are the single exception, that the promotion step runs audited as normal, and that only system operations may call the grant.	existing
DOC-01	18	G0022,G0068,G0123,G0139,G0146,G0161,G0168,G0272,G0375,G0391,G0397,G0452,G0486,G0505,G0542,G0550,G0570,G0582	The "Auditing" section of `docs/import.md` states guarantees the shipped code does not provide — that every membership change writes an audit record, that the Prisma middleware refuses any mutating query without one, that the staging writes are the single exception, and that the promotion step runs audited as normal.	existing
DOC-04	1	G0250	`docs/import.md` restates the values of `MAX_CSV_BYTES` and `CHUNK` as prose literals ("5 MB per upload", "chunks of 200"), duplicating the constants.	existing
GUARD-01	48	G0002,G0014,G0027,G0038,G0050,G0063,G0075,G0087,G0099,G0110,G0121,G0133,G0144,G0156,G0166,G0177,G0191,G0203,G0216,G0229,G0242,G0253,G0265,G0277,G0291,G0305,G0318,G0332,G0345,G0361,G0373,G0385,G0395,G0407,G0423,G0435,G0446,G0459,G0472,G0484,G0497,G0511,G0523,G0536,G0547,G0562,G0574,G0587	The hand-written `MUTATIONS` set omits mutating Prisma actions — `createMany` above all, the action `stageRows` itself issues, plus variants such as `createManyAndReturn`, `updateManyAndReturn` and the raw-execute actions — so the new `if (!MUTATIONS.has(action)) return;` makes `assertAudited` exit without any check for those writes.	existing
