id	arm	review	part	severity	file	title	what_is_wrong
F0001	S	1	0	Critical	src/context/request.ts — `enterSystemOperation` (and its call site src/import/bulk.ts — `s	`enterSystemOperation` writes the audit exemption into the caller's own request frame, so it never ends	`currentContext()` returns the very object held in the `AsyncLocalStorage` store, so `ctx.skipAudit = true` mutates the request's shared frame and the grant's lifetime becomes the whole request rather than the staging call — nothing clears it, on the success path or the error path.
F0002	S	1	0	Critical	src/audit/guard.ts — `MUTATIONS` / `assertAudited`	the new `MUTATIONS` allowlist omits `createMany`, so the staging path was never guarded and the exemption it justifies is unnecessary	the set is a hand-written six-element list (`create, update, delete, deleteMany, updateMany, upsert`) and every action outside it now returns early, but Prisma's mutating action set also contains `createMany` — the exact action `stageRows` uses at src/import/bulk.ts (`prisma.importStaging.createMany`) — plus `createMan
F0003	S	1	0	Critical	migrations/0058_import.sql (and src/import/bulk.ts — `prisma.importStaging`, src/routes/im	the change adds two new Prisma model accessors but no Prisma schema, so the endpoint cannot execute its first write	the diff hand-writes SQL creating `import_staging` and `org_activity` and then calls `prisma.importStaging.*` and `prisma.orgActivity.create`, but the 8-file change list contains no `schema.prisma` — the client exposes a model accessor only for a declared model, and the SQL's snake_case columns (`batch_id`, `display_na
F0004	S	1	0	Major	src/import/bulk.ts — `runImport`	`runImport` stages, applies and cleans up outside any transaction, and the cleanup is not on the failure path	`stageRows`, `applyBatch` and `prisma.importStaging.deleteMany` are three independently committing statements sequences with no `$transaction` and no `try/finally`, so a throw anywhere in `applyBatch` — a constraint violation, a lost connection at row 4,000 — leaves the already-promoted memberships committed and the ba
F0005	S	1	0	Major	src/import/bulk.ts — `runImport` (`const batchId = \`${ctx.orgId}-${ctx.requestId}\``), sr	`batchId` is derived from a caller-controlled header, so two imports can collide and consume each other's staged rows	the batch identity is a name assembled from a request header any client can pin to a constant, and the staging table has neither an `org_id` column nor a uniqueness constraint on `batch_id`, so nothing structurally prevents two concurrent imports from sharing one batch.
F0006	S	1	0	Major	src/import/parse.ts — `parseRows` (`csv.split(/\r?\n/)`) with `splitLine`	quoted fields are parsed quote-aware but the document is split into lines before any quote handling	`splitLine` maintains a `quoted` state machine, but it is only ever handed a single already-split line, so a newline inside a quoted field — legal RFC 4180, and what a spreadsheet export produces for a multi-line name or address — terminates the row early.
F0007	S	1	0	Major	src/import/parse.ts — `parseRows` (`const [header, ...body] = lines;`, `cols.indexOf("emai	`parseRows` throws a `TypeError` on an empty body and uses `indexOf`'s `-1` as an array index when a column is missing	for an empty or whitespace-only upload `lines` is `[]`, `header` is `undefined`, and `splitLine(undefined)` dereferences `.length` on `undefined`; and when a header column is absent, `indexOf` returns `-1`, which is then used in-band as an index — `f[-1]` is `undefined`, so `?? ""` yields an empty string for every row 
F0008	S	1	0	Major	src/routes/import.ts — `POST` (`const csv = await req.text(); if (csv.length > MAX_CSV_BYT	the 5 MB limit is checked after the entire body is buffered and counts UTF-16 units, not bytes	`req.text()` has already materialised the whole body in memory before the comparison runs, so the constant named `MAX_CSV_BYTES` bounds nothing about memory; and `String.length` counts UTF-16 code units, so a CSV of multi-byte characters passes the check at roughly three times the byte figure docs/import.md advertises.
F0009	S	1	0	Major	src/import/bulk.ts — `applyBatch`	`applyBatch` reads the whole batch into memory and issues one database round trip per row	`prisma.importStaging.findMany({ where: { batchId } })` is unbounded and the promotion loop performs a sequential `await prisma.membership.upsert` per row, inside the synchronous HTTP request.
F0010	S	1	0	Major	src/import/bulk.ts — `applyBatch` (the `update` branch of `prisma.membership.upsert`)	promotion overwrites `role` on existing memberships, so an import can silently demote the org's owner	the upsert's update branch rewrites `displayName` and `role` for any email already present in the org, and `parseRows` substitutes `member` for any absent or unrecognised role, so a row for an existing owner with a blank role column silently demotes them; nothing checks that at least one owner survives the batch.
