review	arm	part	path
1	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-01-W-a.md
1	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-01-W-b.md
1	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-01-W-c.md
1	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-01-N-a.md
1	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-01-N-b.md
1	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-01-N-c.md
2	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-02-W-a.md
2	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-02-W-b.md
2	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-02-W-c.md
2	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-02-N-a.md
2	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-02-N-b.md
2	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-02-N-c.md
3	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-03-W-a.md
3	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-03-W-b.md
3	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-03-W-c.md
3	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-03-N-a.md
3	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-03-N-b.md
3	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-03-N-c.md
4	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-04-W-a.md
4	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-04-W-b.md
4	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-04-W-c.md
4	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-04-N-a.md
4	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-04-N-b.md
4	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-04-N-c.md
5	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-05-W-a.md
5	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-05-W-b.md
5	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-05-W-c.md
5	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-05-N-a.md
5	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-05-N-b.md
5	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-05-N-c.md
6	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-06-W-a.md
6	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-06-W-b.md
6	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-06-W-c.md
6	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-06-N-a.md
6	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-06-N-b.md
6	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-06-N-c.md
7	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-07-W-a.md
7	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-07-W-b.md
7	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-07-W-c.md
7	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-07-N-a.md
7	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-07-N-b.md
7	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-07-N-c.md
8	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-08-W-a.md
8	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-08-W-b.md
8	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-08-W-c.md
8	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-08-N-a.md
8	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-08-N-b.md
8	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-08-N-c.md
9	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-09-W-a.md
9	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-09-W-b.md
9	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-09-W-c.md
9	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-09-N-a.md
9	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-09-N-b.md
9	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-09-N-c.md
10	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-10-W-a.md
10	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-10-W-b.md
10	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-10-W-c.md
10	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-10-N-a.md
10	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-10-N-b.md
10	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-10-N-c.md
11	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-11-W-a.md
11	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-11-W-b.md
11	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-11-W-c.md
11	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-11-N-a.md
11	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-11-N-b.md
11	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-11-N-c.md
12	W	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-12-W-a.md
12	W	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-12-W-b.md
12	W	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-12-W-c.md
12	N	a	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-12-N-a.md
12	N	b	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-12-N-b.md
12	N	c	/home/noguchi/.local/state/claude-code-config/round-24-measurement/reviews/review-12-N-c.md
