n	severity	file	title	what_is_wrong
1	Critical	app/webhooks/models.py — WebhookEndpoint.to_dict	to_dict returns signing_secret, so the list endpoint hands the secret back on every GET	list_webhook_endpoints serialises each endpoint with to_dict, which includes signing_secret, so the HMAC key is readable at any time by anyone with a session token.
2	Critical	app/api/routes/settings.py — list_deliveries	deliveries endpoint is not scoped to the caller's org	the query filters only on WebhookDelivery.endpoint_id taken from the path, so any authenticated user can enumerate delivery rows belonging to another organization's endpoints.
3	Critical	app/api/routes/settings.py — create_webhook_endpoint	no SSRF guard on the registered host	the URL is accepted after a scheme/netloc check only, so a customer can register http://127.0.0.1/, http://169.254.169.254/ or an internal DNS name and have the worker POST to it from inside the network.
4	Major	app/api/routes/settings.py — create_webhook_endpoint	scheme check accepts http:// and any scheme with an http prefix	`parsed.scheme.startswith("http")` is true for `http`, `httpx` and `httpfoo`, so plaintext and bogus schemes pass validation.
5	Major	app/api/routes/settings.py — list_deliveries	limit has a lower bound but no upper bound	`Query(50, ge=1)` allows `?limit=100000000`, letting a client pull an unbounded number of delivery rows in one request.
6	Major	app/api/routes/settings.py — create_webhook_endpoint	event_types is stored without validation against known event types	the list from the request body is written straight to the JSONB column, so typos or arbitrary strings are persisted and silently never match any dispatched event.
7	Major	app/api/routes/settings.py — create_webhook_endpoint	organizations.webhooks_enabled is never consulted	the migration adds the per-org feature flag but endpoint creation ignores it, so orgs with the feature off can still register endpoints.
8	Minor	app/api/routes/settings.py — EndpointIn.url	url field has no length or format constraint	`url: str` accepts a megabyte-long string which is stored in a TEXT column and later logged and used as a request target.
9	Minor	app/api/routes/settings.py — list_webhook_endpoints	endpoint listing has no pagination or limit	`.all()` returns every endpoint row for the org, so response size grows without bound.
10	Minor	app/api/routes/settings.py — create_webhook_endpoint	no cap on endpoints per org and no duplicate-URL check	nothing stops a client from creating unlimited identical endpoints, each of which multiplies outbound fan-out per event.
11	Minor	app/api/routes/settings.py — router	no route to deactivate, delete, or rotate an endpoint	only create and read routes are added, so the `active` flag is unreachable and a leaked signing secret can never be rotated.
12	Minor	app/api/routes/settings.py — create_webhook_endpoint	response body is built from the flushed-but-uncommitted row	`to_dict()` is evaluated inside the session scope after `flush()`, so the 201 payload is produced before the transaction commits and a commit failure still yields a serialised endpoint.
13	Major	app/events/dispatcher.py — dispatch	webhook rows are enqueued in a separate transaction from the event insert	the event's `session_scope` has already committed when `enqueue_for_event` opens its own session, so a failure between the two leaves a persisted event with no delivery rows.
14	Major	app/events/dispatcher.py — dispatch	enqueue failure is swallowed as a warning	`except Exception` logs and continues, so a broken enqueue silently drops the webhook for that event while the docs promise at-least-once delivery.
15	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	hardcoded three-type allowlist contradicts the empty-event_types contract	only `invoice.paid`, `invoice.payment_failed` and `subscription.updated` reach the webhook path, so an endpoint with empty `event_types` receives nothing for any other event the system emits.
16	Major	app/events/dispatcher.py — dispatch	webhooks_enabled is not checked before enqueueing	the org-level flag added by the migration is never read, so deliveries are created for orgs where webhooks are meant to be off.
17	Minor	app/events/dispatcher.py — dispatch	webhook enqueue runs inline in the caller's request path	`await webhook_delivery.enqueue_for_event(...)` performs a synchronous endpoint query and insert before `dispatch` returns, adding fan-out cost to whatever produced the event.
18	Minor	app/events/dispatcher.py — dispatch	an exception from any in-process subscriber prevents the webhook enqueue	the unguarded `for subscriber ...: await subscriber(envelope)` loop sits before the webhook block, so one failing subscriber cancels webhook delivery for the event.
19	Major	app/events/dispatcher.py — dispatch	the delivered body is the bare envelope payload with no event id or type	only `envelope.payload` is passed through to the delivery row and then POSTed, so receivers cannot deduplicate on `event_id` as the docs instruct because it is not in the body.
20	Critical	app/webhooks/delivery.py — send_once	the signature is computed over different bytes than the request body	`sign()` HMACs `json.dumps(payload, sort_keys=True)` while the request is sent with `client.post(json=...)`, whose serialisation differs in key order and separators, so a receiver hashing the raw body never reproduces the signature.
21	Critical	app/webhooks/delivery.py — deliver	blocking time.sleep inside an async coroutine	`time.sleep(delay)` stalls the whole event loop for up to 16 seconds, freezing every other delivery in the gathered batch and the worker's polling.
22	Critical	app/webhooks/delivery.py — _claim_batch	ORM rows are returned after their session is closed	the rows are fetched inside `with session_scope()` and returned, so every later attribute read in `deliver` touches a detached instance and raises DetachedInstanceError.
23	Critical	app/webhooks/delivery.py — deliver	endpoint is loaded and then used outside its session	`endpoint = session.get(...)` is the only statement in the `with` block, so `endpoint.signing_secret` and `endpoint.url` in `send_once` are read from a detached instance.
24	Critical	app/webhooks/delivery.py — _acquire_lock	the lock is a non-atomic get-then-set	two workers that both see an empty `LOCK_KEY` will both `set` it and both proceed, so the mutual exclusion the design relies on does not hold.
25	Major	app/webhooks/delivery.py — _acquire_lock	SET and EXPIRE are separate commands	if the process dies between them the key has no TTL, and all webhook delivery stops permanently until someone deletes the key by hand.
26	Major	app/webhooks/delivery.py — run_worker	the lock is deleted without an ownership check	the `finally` block calls `redis_client.delete(LOCK_KEY)` unconditionally, so a worker whose 60s TTL already expired deletes the lock now held by a different worker.
27	Major	app/webhooks/delivery.py — LOCK_KEY TTL	60s TTL is shorter than a batch's worst-case runtime	100 deliveries with 30s timeouts and 2+4+8+16s sleeps far exceed 60s, so the lock expires mid-batch and a second worker starts processing the same table.
28	Critical	app/webhooks/delivery.py — _claim_batch	claim query has no row locking	the SELECT has no `FOR UPDATE SKIP LOCKED` and the status update is not conditional, so concurrent workers or instances select the same pending rows and deliver them twice.
29	Critical	app/webhooks/delivery.py — _claim_batch	rows set to in_flight are never returned to pending	nothing resets `in_flight` after a crash, cancellation, or unhandled exception, and no reaper exists, so those deliveries are excluded from the pending filter forever.
30	Major	app/webhooks/delivery.py — deliver	retry state is kept only in a local variable	`attempt` is incremented in memory and `attempts`/`next_attempt_at` are written only by `_finish`, so a restart mid-retry loses all attempt history and the row's scheduled time.
31	Major	app/webhooks/delivery.py — deliver	4xx responses are retried	the loop retries every non-2xx status until MAX_ATTEMPTS, so a permanent 400 or 404 costs five attempts instead of stopping immediately as documented.
32	Major	app/webhooks/delivery.py — backoff_for	backoff has no jitter	`timedelta(seconds=BASE_DELAY_SECONDS**attempt)` is fully deterministic, so all deliveries failing at the same moment retry in lockstep.
33	Major	app/webhooks/delivery.py — enqueue_for_event	naive datetime written into a timezone-aware column	`next_attempt_at=datetime.utcnow()` produces a naive value while `_claim_batch` compares against `datetime.now(timezone.utc)`, mixing naive and aware datetimes.
34	Major	app/webhooks/delivery.py — _finish	the fetched row is used without a None check	`session.get(...)` returns None for a deleted delivery and the next line assigns `row.status`, raising AttributeError inside the finalisation path.
35	Major	app/webhooks/delivery.py — deliver	only httpx.HTTPError is caught	any other failure — serialisation TypeError, DetachedInstanceError, DB error from `_finish` — escapes the loop, leaving the row `in_flight` with no terminal status.
36	Major	app/webhooks/delivery.py — run_worker	asyncio.gather without return_exceptions	the first delivery to raise propagates out of `gather`, out of the `try`, and terminates the worker's `while True` loop entirely.
37	Major	app/webhooks/delivery.py — run_worker	`batch` can be referenced before assignment	if `_claim_batch()` raises, the `finally` runs and the exception propagates, but on any path where the exception is handled upstream the trailing `if not batch` reads an unbound local.
