n	severity	file	title	what_is_wrong
1	Critical	app/api/routes/settings.py — list_deliveries()	deliveries endpoint has no org scoping, so any user can read any endpoint's deliveries	The query filters only on WebhookDelivery.endpoint_id taken from the path and never joins WebhookEndpoint to check org_id == user.org_id, so any authenticated user can enumerate other organizations' delivery rows including response bodies.
2	Critical	app/api/routes/settings.py — create_webhook_endpoint()	user-supplied URL is fetched by the worker with no SSRF defence	The endpoint stores any host the caller supplies and the delivery worker later POSTs to it, so a customer can point an endpoint at 127.0.0.1, 169.254.169.254 or an internal service and use the signed request as a blind SSRF probe.
3	Major	app/api/routes/settings.py — create_webhook_endpoint()	plain http:// URLs are accepted although docs promise HTTPS only	The check `parsed.scheme.startswith("http")` passes for scheme `http`, so payloads are delivered in cleartext even though docs/webhooks.md states "Only `https://` URLs are accepted".
4	Minor	app/api/routes/settings.py — create_webhook_endpoint()	scheme validation by prefix accepts arbitrary schemes	`parsed.scheme.startswith("http")` is true for `httpfoo://host`, so an unusable scheme is persisted and only fails much later inside httpx at delivery time.
5	Major	app/api/routes/settings.py — list_webhook_endpoints()	signing secret is readable back through the list endpoint	`WebhookEndpoint.to_dict()` includes `signing_secret` and the list route returns it for every endpoint, contradicting docs/webhooks.md ("the response is the only place the signing secret appears — it cannot be read back afterwards") and turning any read-scoped credential into secret disclosure.
6	Minor	app/api/routes/settings.py — list_deliveries()	limit query parameter has no upper bound	`Query(50, ge=1)` declares a floor but no `le`, so a caller can pass limit=10000000 and force an unbounded result set and JSON serialization of every stored payload row.
7	Minor	app/api/routes/settings.py — EndpointIn.event_types	requested event types are never validated against the types that can fire	`event_types` is an unconstrained `list[str]`, so a typo like "invoice.payed" is accepted and the endpoint silently never receives anything.
8	Minor	app/api/routes/settings.py — webhook-endpoints routes	endpoints can be created and listed but never deactivated or deleted	The model carries an `active` flag that only `enqueue_for_event` reads, and the diff adds no route that can set it or remove an endpoint, so a compromised or dead URL keeps receiving signed payloads.
9	Minor	app/api/routes/settings.py — list_deliveries()	unknown endpoint_id returns 200 with an empty list instead of 404	The handler never loads the endpoint, so a nonexistent id is indistinguishable from an endpoint that has no deliveries.
10	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	only three hardcoded event types can ever reach webhooks	`dispatch` gates the enqueue on a module-level literal set, so an endpoint registered with empty `event_types` receives just those three types and not "every event type we emit" as docs/webhooks.md promises.
11	Major	app/events/dispatcher.py — dispatch()	webhook enqueue failures are swallowed, silently dropping the delivery	The `except Exception` around `enqueue_for_event` only logs a warning and returns the event id as success, so a transient DB error loses the webhook entirely with nothing to retry it, breaking the documented at-least-once guarantee.
12	Major	app/events/dispatcher.py — dispatch()	event persistence and delivery enqueue are in separate transactions	The event row is committed when `session_scope` exits and `enqueue_for_event` opens its own session afterwards, so a crash between the two leaves a persisted event with no delivery rows and no mechanism that reconciles them.
13	Minor	app/events/dispatcher.py — dispatch()	a failing in-process subscriber prevents webhook enqueue	The `for subscriber in SUBSCRIBERS...` loop is unguarded and runs before the webhook block, so one raising subscriber aborts `dispatch` and the webhook is never enqueued.
14	Major	app/events/dispatcher.py — dispatch()	the org-level webhooks_enabled flag added by the migration is never consulted	Migration 0042 adds `organizations.webhooks_enabled NOT NULL DEFAULT FALSE`, but neither `dispatch` nor `enqueue_for_event` reads it, so webhooks fire for every org regardless of the flag and the flag's default suggests the opposite.
15	Critical	app/webhooks/delivery.py — deliver()	time.sleep() inside a coroutine blocks the whole event loop	`deliver` is async but backs off with `time.sleep(delay)`, so a single retrying delivery freezes the worker and every other delivery in the `asyncio.gather` batch for up to 16 seconds at a time.
16	Critical	app/webhooks/delivery.py — _claim_batch() / deliver()	ORM rows are used after their session closes, so attribute access raises DetachedInstanceError	`_claim_batch` returns `WebhookDelivery` instances after `session_scope` exits and commits, and `deliver`/`send_once` then read `delivery.payload`, `delivery.attempts` and `delivery.id` on expired, detached objects.
17	Critical	app/webhooks/delivery.py — deliver()	endpoint is loaded then used outside its session	`endpoint = session.get(m.WebhookEndpoint, ...)` is fetched inside `with session_scope()` but `endpoint.signing_secret` and `endpoint.url` are read in `send_once` after the session closed, so the attribute load fails on a detached instance.
18	Minor	app/webhooks/delivery.py — deliver()	a deleted endpoint yields AttributeError on None	`session.get` returns None when the endpoint row is gone (cascade delete), and the code passes it straight to `send_once` without a None check.
19	Critical	app/webhooks/delivery.py — send_once() vs signing.serialize()	the signature is computed over different bytes than the request body	`sign` hashes `json.dumps(payload, sort_keys=True)` while the request is sent with `client.post(..., json=delivery.payload)`, which serializes with httpx's own key order and separators, so the HMAC never matches the raw body a receiver verifies.
20	Critical	app/webhooks/delivery.py — send_once() / signing.sign()	the timestamp header is not covered by the signature	`sign` returns a timestamp but MACs only the payload, so `X-Acme-Timestamp` is unauthenticated and an attacker can rewrite it freely, defeating the five-minute replay window docs/webhooks.md tells customers to rely on.
21	Major	app/webhooks/delivery.py — send_once()	full request headers including the signature are logged at INFO	`log.info("POST %s headers=%s", endpoint.url, headers)` writes the computed `X-Acme-Signature` and timestamp into application logs, so anyone with log access can replay a valid signed request.
22	Major	app/webhooks/delivery.py — deliver()	4xx responses are retried although the docs call them permanent	The success branch checks only `200 <= status < 300` and everything else falls through to the retry path, so a 400 or 404 is hammered five times, contradicting "a 4xx is permanent and we stop immediately".
23	Critical	app/webhooks/delivery.py — _finish()	the status written on permanent failure violates the migration's CHECK constraint	`_finish(..., "failed_permanent", ...)` stores a value the `webhook_deliveries` CHECK allows only as `'failed'`, so every permanently failed delivery aborts its transaction with a constraint violation.
24	Major	app/webhooks/delivery.py — _acquire_lock()	get-then-set lock acquisition is not atomic	Two workers can both see an empty `LOCK_KEY` before either writes it, so both proceed to claim and deliver the same batch; the check needs a single SET NX.
25	Major	app/webhooks/delivery.py — _acquire_lock()	SET and EXPIRE are separate calls, so a crash leaves a lock with no TTL	If the process dies between `redis_client.set` and `redis_client.expire`, `LOCK_KEY` persists forever and every worker afterwards spins on the poll interval without ever dispatching.
