id	arm	review	part	batch	severity	file	title	what_is_wrong
K0001	N	1	a	1	Critical	`app/api/routes/settings.py` — `list_deliveries`, the `.filter(WebhookDelivery.endpoint_id == endpoint_id)` line	`list_deliveries` reads any organization's deliveries by id	The query filters on the caller-supplied `endpoint_id` alone and never joins or checks `WebhookEndpoint.org_id == user.org_id`, while the two sibling handlers in the same file (`list_api_keys`, `list_webhook_endpoints`) both scope by `org_id`.
K0002	N	1	a	1	Critical	"`app/webhooks/models.py` — `WebhookEndpoint.to_dict` (`""signing_secret"": self.signing_secret`), and `app/webhooks/delivery.py` — `send_once`, `log.info(""POST %s headers=%s"", endpoint.url, headers)`"	the signing secret is returned by the list API and written to the log	"`to_dict()` embeds the raw signing secret, and it is the serializer used by `GET /v1/settings/webhook-endpoints`, so the secret is readable forever by anyone who can call the list route — directly contradicting `docs/webhooks.md` (""the response is the only place the signing secret appears — it cannot be read back afterwards"") — while `send_once` logs the whole header dict, putting the derived signature into application logs on every delivery."
K0003	N	1	a	1	Critical	`app/webhooks/signing.py` — `new_signing_secret`	signing secrets come from `random`, not a CSPRNG	The secret is built from `random.choice`, i.e. the Mersenne Twister, which is seeded from process state and whose internal state is recoverable from a modest amount of observed output, so the secrets are predictable rather than unguessable (the constant is also mis-named: `SECRET_BYTES = 32` selects 32 *characters* from a 62-symbol alphabet, and `tests/webhooks/test_delivery.py::test_new_signing_secret_has_prefix_and_length` pins that character count, cementing the wrong unit).
K0004	N	1	a	1	Critical	`app/webhooks/signing.py` — `verify`, `return expected == signature`	`verify` compares signatures with `==`	The HMAC comparison uses Python's short-circuiting `str.__eq__` instead of `hmac.compare_digest`, which is RS1 exactly — a credential comparison without a constant-time helper.
K0005	N	1	a	1	Critical	`app/webhooks/signing.py` — `sign`, `mac = hmac.new(secret.encode(), serialize(payload).encode(), ...)`	the signature is not bound to the timestamp, so the documented replay window cannot be enforced	"`sign` returns a timestamp but computes the MAC over the payload only, while `docs/webhooks.md` states the signature is ""the HMAC-SHA256 of `\""{timestamp}.{raw_request_body}\""`""; `verify` likewise ignores the timestamp entirely, so `X-Acme-Timestamp` is unauthenticated attacker-controlled data."
K0006	N	1	a	1	Critical	`app/webhooks/delivery.py` — `send_once`, `sign(endpoint.signing_secret, delivery.payload)` followed by `client.post(..., json=delivery.payload, ...)`	the bytes that are signed are not the bytes that are sent	"The MAC is computed over `signing.serialize()` output (`json.dumps(payload, sort_keys=True)`, which uses the `"", ""`/`"": ""` separators and sorts keys) while httpx re-serializes the same dict independently for `json=` (compact separators, insertion order), so the transmitted body differs from the signed string — this is R40's producer/strict-consumer divergence, with the receiver's HMAC check as the strict consumer."
K0007	N	1	a	1	Critical	"`app/api/routes/settings.py` — `create_webhook_endpoint`, `if not parsed.scheme.startswith(""http"") or not parsed.netloc`; `app/webhooks/delivery.py` — `httpx.AsyncClient(..., follow_redirects=True)`"	endpoint URLs are unvalidated against SSRF, and the delivery client follows redirects	"The check is a surface-form test on the scheme string (R47) rather than a decision about the resolved destination — `startswith(""http"")` admits `http`, `httpx`, `httpfoo`, contradicting the doc's ""Only `https://` URLs are accepted"" — and nothing rejects loopback, link-local (`169.254.169.254`), or RFC1918 hosts, while `follow_redirects=True` lets a public-looking host redirect the worker into the internal network."
K0008	N	1	a	1	Critical	"`migrations/0042_webhook_delivery.sql` — `CHECK (status IN ('pending', 'in_flight', 'delivered', 'failed'))` vs `app/webhooks/delivery.py` — `_finish(delivery.id, ""failed_permanent"", ...)`"	the migration's status CHECK constraint rejects the status the code writes	The migration enumerates `'failed'` while both `app/webhooks/models.py::STATUSES` and the two `_finish` call sites use `'failed_permanent'` — the same enum is spelled three times (SQL literal, Python tuple, inline string literal) and one copy drifted (R2/R3, and `STATUSES` is currently dead code that nothing validates against).
K0009	N	1	a	1	Critical	`migrations/0042_webhook_delivery.sql` — `CREATE UNIQUE INDEX idx_webhook_deliveries_event ON webhook_deliveries (event_id)`	`UNIQUE (event_id)` makes fan-out to a second endpoint fail	One event fans out to every matching endpoint — `enqueue_for_event` builds one `WebhookDelivery` per endpoint with the same `event_id` — but the unique index permits only one row per event, so the intended dedup key (`endpoint_id`, `event_id`) was written as `event_id` alone.
K0010	N	1	a	1	Critical	`app/webhooks/delivery.py` — `deliver`, `time.sleep(delay)`	`time.sleep` inside an async coroutine blocks the whole event loop	`deliver` is `async` and is run under `asyncio.gather`, but the retry backoff uses the blocking `time.sleep` instead of `await asyncio.sleep`, so the sleeping coroutine holds the loop thread.
K0011	N	1	a	1	Critical	`app/webhooks/delivery.py` — `_claim_batch` (`return rows` inside `with session_scope()`), and `deliver` (`endpoint` fetched in one `session_scope`, then read in `send_once`)	ORM instances are used after their session closes	"Both functions return or retain SQLAlchemy instances past the end of their `session_scope`, and every subsequent attribute read — `delivery.attempts`, `delivery.payload`, `delivery.id`, `endpoint.signing_secret`, `endpoint.url` — is a lazy load against a closed session; `_claim_batch` additionally sets `row.status = ""in_flight""` and returns the rows from inside the block, so the caller receives instances whose identity map is gone."
K0012	N	1	a	1	Critical	`tests/webhooks/test_delivery.py` — `test_send_once_posts_the_signed_payload`, `test_verify_accepts_signature_produced_by_sign`	no test exercises the signature contract the docs tell receivers to implement	"The transport test asserts only the *shape* of the header (`startswith(""sha256="")`, `.isdigit()`) and never that the transmitted body verifies, while `test_verify_accepts_signature_produced_by_sign` is near-tautological because `verify` is implemented as `sign` plus a comparison — so the production primitive that matters (a receiver verifying our request) is never on any test's call path (RT5, Critical because signature verification is a security control)."
K0013	N	1	a	1	Major	`app/webhooks/delivery.py` — `_acquire_lock`, and `run_worker`'s `finally: await redis_client.delete(LOCK_KEY)`	the Redis lock is a check-then-set race and is released by non-owners	`get` followed by `set` is not atomic, so two workers polling simultaneously both observe an empty key and both proceed; `expire` is a separate round-trip, so a crash between `set` and `expire` leaves a permanent lock; and the unconditional `delete` in `finally` lets a worker whose 60-second TTL already lapsed delete the lock a *different* worker now holds.
K0014	N	1	a	1	Major	"`app/webhooks/delivery.py` — `_claim_batch` (sets `row.status = ""in_flight""`) and `run_worker`"	`in_flight` has no exit path, so a crashed or cancelled batch wedges deliveries forever	"`in_flight` is entered on claim and left only by `_finish` on the success or exhausted-retry path; a worker crash, a lock expiry, a `gather` that raises and abandons its siblings, or the CHECK-violation above leaves rows in `in_flight` with nothing that ever reclaims them, and `_claim_batch` filters strictly on `status == ""pending""` (R38 clause 1: a transient state with no failure-exit and no bounded timeout)."
K0015	N	1	a	1	Major	"`app/webhooks/delivery.py` — `deliver` (`status_code, detail` branch) and `backoff_for`; `docs/webhooks.md` — the ""Retries"" section"	retry policy contradicts the documented contract in three places	"The docs say ""a 4xx is permanent and we stop immediately"" but `deliver` retries every non-2xx identically; the docs say ""backoff is exponential with jitter"" but `backoff_for` is deterministic `2**attempt`; and the docs describe the schedule as if it were driven by `next_attempt_at`, which the in-process loop never reads (R29/R49 — prose claiming behaviour the implementation does not have)."
K0016	N	1	a	1	Major	`app/webhooks/delivery.py` — `enqueue_for_event`, `next_attempt_at=datetime.utcnow()`; `migrations/0042_webhook_delivery.sql` — every `TIMESTAMP NOT NULL` column	naive and aware datetimes are mixed, and the migration columns have no time zone	`enqueue_for_event` writes a naive `utcnow()` while `_claim_batch` filters against an aware `datetime.now(timezone.utc)` and `models.py` declares every column `DateTime(timezone=True)`, but the migration creates them as `TIMESTAMP` (without time zone) — three descriptions of one column that do not agree (R3: the aware-datetime pattern was applied in `models.py::_now` and in `_claim_batch` but not in `enqueue_for_event` or the DDL).
