n	severity	file	title	what_is_wrong
1	Critical	app/api/routes/settings.py — list_deliveries()	the deliveries query is not scoped to the caller's organization	The query filters only on `endpoint_id` taken from the URL path, so any authenticated user can enumerate delivery history (event ids, types, response codes) for any other org's endpoints.
2	Critical	app/webhooks/signing.py — new_signing_secret()	signing secrets are generated with `random.choice` instead of a CSPRNG	`random` is a seedable Mersenne Twister, so observing a few secrets lets an attacker predict others and forge signatures for other tenants' endpoints.
3	Critical	app/webhooks/signing.py — sign()/serialize() vs delivery.send_once()	the signature is computed over a different byte string than the body that is sent	`sign()` HMACs `json.dumps(payload, sort_keys=True)` while `client.post(json=...)` serializes the payload independently (different key order and separators), so a receiver verifying against the raw request body gets a mismatch.
4	Critical	app/webhooks/signing.py — sign()	the timestamp is not part of the signed message	The HMAC covers only the serialized payload, so `X-Acme-Timestamp` is unauthenticated and can be rewritten by anyone replaying a captured request, defeating the five-minute replay window the docs rely on.
5	Critical	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_event	the unique index on `event_id` alone allows only one delivery row per event	`enqueue_for_event` inserts one row per matching endpoint for the same `event_id`, so any org with two or more subscribed endpoints hits a unique-violation and loses every delivery for that event.
6	Critical	migrations/0042_webhook_delivery.sql — status CHECK constraint	the CHECK list omits the `failed_permanent` status the code writes	The constraint allows `('pending','in_flight','delivered','failed')` but `_finish` writes `"failed_permanent"`, so exhausting retries raises a constraint violation instead of recording the failure.
7	Critical	app/webhooks/delivery.py — deliver()	`time.sleep()` blocks the event loop inside an async coroutine	The retry backoff calls the synchronous `time.sleep(delay)`, which freezes the whole worker process (all 100 gathered deliveries and the lock refresh) for up to 16 seconds per retry.
8	Critical	app/webhooks/delivery.py — _claim_batch()	claimed rows are used after their session closes	`session_scope()` commits and expires the ORM instances on exit, so the later reads of `delivery.attempts`, `delivery.payload` and `delivery.id` in `deliver`/`send_once` raise DetachedInstanceError.
9	Critical	app/webhooks/delivery.py — deliver()	the endpoint object is read outside the session it was loaded in	`session.get(m.WebhookEndpoint, ...)` returns an instance whose session has already exited, so `endpoint.signing_secret` and `endpoint.url` in `send_once` touch expired attributes and fail.
10	Critical	app/webhooks/delivery.py — _acquire_lock()	the distributed lock is a non-atomic get-then-set	Two workers can both see an empty `LOCK_KEY` before either sets it, and the separate `set`/`expire` pair can leave a lock with no TTL if the process dies between them, so the batch is processed twice.
11	Major	app/webhooks/delivery.py — _claim_batch()	rows are claimed without row-level locking	The SELECT has no `FOR UPDATE SKIP LOCKED` and the status flip is a separate write, so two concurrent workers (the redis lock being unreliable) select the same pending rows and deliver each webhook twice.
12	Major	app/webhooks/delivery.py — run_worker()	the lock is deleted unconditionally even after it has expired	`finally: redis_client.delete(LOCK_KEY)` deletes whatever key is present without checking ownership, so a batch that outruns the 60-second TTL erases the lock a different worker now holds.
13	Major	app/webhooks/delivery.py — LOCK_KEY expiry of 60 seconds	the lock TTL is far shorter than the work it protects	A batch of 100 deliveries with a 30-second request timeout and up to 30 seconds of in-process backoff per delivery routinely exceeds 60 seconds, so the lock lapses mid-batch and a second worker starts.
14	Major	app/webhooks/delivery.py — run_worker()	`batch` can be referenced before assignment	If `_claim_batch()` raises, the `finally` block runs and control falls through to `if not batch`, raising NameError and killing the worker loop.
15	Major	app/webhooks/delivery.py — run_worker()	`asyncio.gather` without `return_exceptions` abandons the rest of the batch	The first non-HTTPError exception from any `deliver` (TypeError from a non-serializable payload, AttributeError on a missing row) propagates out of `gather` while sibling tasks are still running, and the `finally` then releases the lock underneath them.
16	Major	app/webhooks/delivery.py — deliver()	rows stay `in_flight` forever when a worker dies mid-retry	`_claim_batch` only selects `status == "pending"`, and nothing ever moves `in_flight` rows back, so any crash, deploy or lock expiry during the multi-minute retry loop strands those deliveries permanently.
17	Major	app/webhooks/delivery.py — deliver()	retry state is never persisted between attempts	`attempt` is a local counter and `attempts`/`next_attempt_at` are only written once at the terminal `_finish`, so the `next_attempt_at` scheduling column is unused and a restart restarts the attempt count from the stale DB value.
18	Major	app/webhooks/delivery.py — deliver()	4xx responses are retried instead of failing permanently	The success test is `200 <= status < 300` and every other status falls into the retry path, so a 400 or 404 is retried five times, contradicting the documented "a 4xx is permanent and we stop immediately".
19	Major	app/webhooks/delivery.py — httpx.AsyncClient(follow_redirects=True)	signed POSTs are followed to redirect targets	A customer endpoint can answer 307 with any Location and httpx will re-POST the signed body and secret-derived signature headers to that host, including internal addresses.
20	Major	app/api/routes/settings.py — create_webhook_endpoint()	the destination URL is not checked against internal networks	Any authenticated user can register `http://127.0.0.1:...` or `http://169.254.169.254/...` and the worker will POST to it from inside the network, giving a full SSRF primitive.
21	Major	app/api/routes/settings.py — create_webhook_endpoint()	`scheme.startswith("http")` accepts plain http and bogus schemes	The check passes for `http://`, contradicting the docs' "Only `https://` URLs are accepted", and also for anything else beginning with those four characters such as `httpfoo://`.
