cluster_id	panellists	n	member_ids	claim
SETTINGS-03	5	9	A04,A81,B03,B04,C02,C49,D37,D56,E21	create_webhook_endpoint validates the URL with parsed.scheme.startswith("http"), which accepts plaintext http:// and any scheme merely beginning with those characters such as httpfoo://, contradicting the documented https-only rule.
MODELS-01	5	9	A01,A82,B05,B47,C37,C53,D12,D57,E22	WebhookEndpoint.to_dict includes signing_secret, so GET /v1/settings/webhook-endpoints returns every endpoint's signing secret rather than exposing it only in the creation response.
SIGNING-01	5	9	A20,A84,B19,B46,C43,C50,D04,D58,E03	sign HMACs json.dumps(payload, sort_keys=True) while the request is sent with client.post(json=...), so the signed bytes differ from the transmitted body and a receiver hashing the raw request body cannot reproduce the signature.
SETTINGS-01	5	8	A02,A86,B01,C01,C54,D11,D64,E01	list_deliveries filters only on the endpoint_id taken from the path and never checks that the endpoint belongs to the caller's organization, so any authenticated user can read another organization's delivery rows.
DELIVERY-11	5	8	A31,A83,B22,C25,C52,D23,D60,E18	deliver treats every response outside 200-299 as retryable and re-POSTs it up to MAX_ATTEMPTS, so a 4xx is retried instead of being marked permanent immediately.
DELIVERY-12	5	8	A32,A87,B34,C35,C51,D24,D61,E37	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds with no randomisation, so there is no jitter and deliveries failing together retry at the same instants.
DISPATCH-01	5	7	A15,A89,B10,C11,D36,D59,E25	dispatch gates the webhook enqueue on the hardcoded three-entry WEBHOOK_EVENT_TYPES set, so an endpoint subscribed to any other type, or to all types via an empty event_types, receives nothing.
MODELS-03	5	7	A55,A64,B48,C38,C58,D41,E28	models.py declares created_at, updated_at and next_attempt_at as DateTime(timezone=True) while migration 0042 creates them as TIMESTAMP without time zone, so offsets are dropped on write.
MIGRATION-02	5	7	A54,A63,B23,B53,C56,D06,E06	_finish writes the status failed_permanent, which the migration's CHECK constraint ('pending','in_flight','delivered','failed') does not allow, so a permanent failure cannot be recorded.
MIGRATION-03	5	7	A07,A16,A65,B14,C30,D39,E39	the migration adds organizations.webhooks_enabled NOT NULL DEFAULT FALSE but no code in the change reads it, so the flag has no effect on endpoint creation or delivery.
DELIVERY-30	5	7	A19,B40,C29,C55,D49,D63,E36	the POSTed body is the bare event payload with no event_id or event_type in the body or headers, so a receiver has no id to deduplicate on.
DISPATCH-02	5	6	A14,A88,B11,C10,D34,E23	the except Exception around enqueue_for_event logs a warning and lets dispatch return the event id as success, so a failed enqueue drops the webhook with no retry or failure signal.
DELIVERY-10	5	6	A30,B33,C24,D21,D22,E17	retry state is held in the local attempt counter and attempts/next_attempt_at are written only by the terminal _finish, so progress is lost across restarts and the next_attempt_at schedule is never used.
SIGNING-02	5	6	A50,A85,B20,C44,D03,E04	sign MACs only the serialised payload, so the X-Acme-Timestamp header is unauthenticated and a replayer can rewrite it without invalidating the signature.
SIGNING-03	5	6	A51,B44,C46,D05,D62,E53	verify recomputes a fresh timestamp from time.time() and accepts no received timestamp, so it cannot enforce the documented five-minute freshness window.
SETTINGS-02	5	5	A03,B02,C03,D13,E20	create_webhook_endpoint performs no host validation, so a caller can register a loopback, link-local, or internal address that the delivery worker will then POST to from inside the network.
SETTINGS-04	5	5	A05,B06,C04,D50,E38	the limit parameter is declared Query(50, ge=1) with no upper bound, so one request can pull an unbounded number of delivery rows.
DELIVERY-01	5	5	A21,B15,C17,D08,E07	deliver backs off with the blocking time.sleep(delay) inside an async coroutine, stalling the event loop and every other gathered delivery for the duration.
DELIVERY-02	5	5	A22,B16,C14,D09,E08	_claim_batch returns ORM rows loaded inside with session_scope(), so later attribute reads in deliver and send_once touch detached, expired instances.
DELIVERY-03	5	5	A23,B17,C15,D10,E09	deliver loads the endpoint inside a session_scope block that closes before send_once reads endpoint.signing_secret and endpoint.url from the detached instance.
DELIVERY-04	5	5	A24,B24,C18,D15,E10	_acquire_lock reads LOCK_KEY and then sets it as separate operations, so two workers that both observe an empty key both acquire the lock.
DELIVERY-07	5	5	A27,B27,C20,D18,E13	the 60-second LOCK_KEY TTL is shorter than a batch's worst-case runtime, so the lock can expire mid-batch and a second worker starts processing the same rows.
DELIVERY-08	5	5	A28,B31,C32,D19,E11	_claim_batch selects pending rows with no FOR UPDATE SKIP LOCKED and no conditional update, so concurrent claimers can select and deliver the same rows.
DELIVERY-09	5	5	A29,B29,C23,D20,E16	rows flipped to in_flight by _claim_batch are moved on only by _finish and nothing resets stale in_flight rows, so a crash or unhandled exception strands them outside the pending query permanently.
