id	panellist	severity	file	title	what_is_wrong
A01	A	Critical	app/webhooks/models.py — WebhookEndpoint.to_dict	to_dict returns signing_secret, so the list endpoint hands the secret back on every GET	list_webhook_endpoints serialises each endpoint with to_dict, which includes signing_secret, so the HMAC key is readable at any time by anyone with a session token.
A02	A	Critical	app/api/routes/settings.py — list_deliveries	deliveries endpoint is not scoped to the caller's org	the query filters only on WebhookDelivery.endpoint_id taken from the path, so any authenticated user can enumerate delivery rows belonging to another organization's endpoints.
A03	A	Critical	app/api/routes/settings.py — create_webhook_endpoint	no SSRF guard on the registered host	the URL is accepted after a scheme/netloc check only, so a customer can register http://127.0.0.1/, http://169.254.169.254/ or an internal DNS name and have the worker POST to it from inside the network.
A04	A	Major	app/api/routes/settings.py — create_webhook_endpoint	scheme check accepts http:// and any scheme with an http prefix	"`parsed.scheme.startswith(""http"")` is true for `http`, `httpx` and `httpfoo`, so plaintext and bogus schemes pass validation."
A05	A	Major	app/api/routes/settings.py — list_deliveries	limit has a lower bound but no upper bound	`Query(50, ge=1)` allows `?limit=100000000`, letting a client pull an unbounded number of delivery rows in one request.
A06	A	Major	app/api/routes/settings.py — create_webhook_endpoint	event_types is stored without validation against known event types	the list from the request body is written straight to the JSONB column, so typos or arbitrary strings are persisted and silently never match any dispatched event.
A07	A	Major	app/api/routes/settings.py — create_webhook_endpoint	organizations.webhooks_enabled is never consulted	the migration adds the per-org feature flag but endpoint creation ignores it, so orgs with the feature off can still register endpoints.
A08	A	Minor	app/api/routes/settings.py — EndpointIn.url	url field has no length or format constraint	`url: str` accepts a megabyte-long string which is stored in a TEXT column and later logged and used as a request target.
A09	A	Minor	app/api/routes/settings.py — list_webhook_endpoints	endpoint listing has no pagination or limit	`.all()` returns every endpoint row for the org, so response size grows without bound.
A10	A	Minor	app/api/routes/settings.py — create_webhook_endpoint	no cap on endpoints per org and no duplicate-URL check	nothing stops a client from creating unlimited identical endpoints, each of which multiplies outbound fan-out per event.
A11	A	Minor	app/api/routes/settings.py — router	no route to deactivate, delete, or rotate an endpoint	only create and read routes are added, so the `active` flag is unreachable and a leaked signing secret can never be rotated.
A12	A	Minor	app/api/routes/settings.py — create_webhook_endpoint	response body is built from the flushed-but-uncommitted row	`to_dict()` is evaluated inside the session scope after `flush()`, so the 201 payload is produced before the transaction commits and a commit failure still yields a serialised endpoint.
A13	A	Major	app/events/dispatcher.py — dispatch	webhook rows are enqueued in a separate transaction from the event insert	the event's `session_scope` has already committed when `enqueue_for_event` opens its own session, so a failure between the two leaves a persisted event with no delivery rows.
A14	A	Major	app/events/dispatcher.py — dispatch	enqueue failure is swallowed as a warning	`except Exception` logs and continues, so a broken enqueue silently drops the webhook for that event while the docs promise at-least-once delivery.
A15	A	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	hardcoded three-type allowlist contradicts the empty-event_types contract	only `invoice.paid`, `invoice.payment_failed` and `subscription.updated` reach the webhook path, so an endpoint with empty `event_types` receives nothing for any other event the system emits.
A16	A	Major	app/events/dispatcher.py — dispatch	webhooks_enabled is not checked before enqueueing	the org-level flag added by the migration is never read, so deliveries are created for orgs where webhooks are meant to be off.
A17	A	Minor	app/events/dispatcher.py — dispatch	webhook enqueue runs inline in the caller's request path	`await webhook_delivery.enqueue_for_event(...)` performs a synchronous endpoint query and insert before `dispatch` returns, adding fan-out cost to whatever produced the event.
A18	A	Minor	app/events/dispatcher.py — dispatch	an exception from any in-process subscriber prevents the webhook enqueue	the unguarded `for subscriber ...: await subscriber(envelope)` loop sits before the webhook block, so one failing subscriber cancels webhook delivery for the event.
A19	A	Major	app/events/dispatcher.py — dispatch	the delivered body is the bare envelope payload with no event id or type	only `envelope.payload` is passed through to the delivery row and then POSTed, so receivers cannot deduplicate on `event_id` as the docs instruct because it is not in the body.
A20	A	Critical	app/webhooks/delivery.py — send_once	the signature is computed over different bytes than the request body	`sign()` HMACs `json.dumps(payload, sort_keys=True)` while the request is sent with `client.post(json=...)`, whose serialisation differs in key order and separators, so a receiver hashing the raw body never reproduces the signature.
A21	A	Critical	app/webhooks/delivery.py — deliver	blocking time.sleep inside an async coroutine	`time.sleep(delay)` stalls the whole event loop for up to 16 seconds, freezing every other delivery in the gathered batch and the worker's polling.
A22	A	Critical	app/webhooks/delivery.py — _claim_batch	ORM rows are returned after their session is closed	the rows are fetched inside `with session_scope()` and returned, so every later attribute read in `deliver` touches a detached instance and raises DetachedInstanceError.
A23	A	Critical	app/webhooks/delivery.py — deliver	endpoint is loaded and then used outside its session	`endpoint = session.get(...)` is the only statement in the `with` block, so `endpoint.signing_secret` and `endpoint.url` in `send_once` are read from a detached instance.
A24	A	Critical	app/webhooks/delivery.py — _acquire_lock	the lock is a non-atomic get-then-set	two workers that both see an empty `LOCK_KEY` will both `set` it and both proceed, so the mutual exclusion the design relies on does not hold.
A25	A	Major	app/webhooks/delivery.py — _acquire_lock	SET and EXPIRE are separate commands	if the process dies between them the key has no TTL, and all webhook delivery stops permanently until someone deletes the key by hand.
A26	A	Major	app/webhooks/delivery.py — run_worker	the lock is deleted without an ownership check	the `finally` block calls `redis_client.delete(LOCK_KEY)` unconditionally, so a worker whose 60s TTL already expired deletes the lock now held by a different worker.
