cluster_id	claim
B2DIS-01	dispatch awaits enqueue_for_event inline before returning, so the caller's request path carries the webhook fan-out work instead of it being handed to a background task.
B2DIS-02	the dispatch log line's webhooks= field records whether envelope.type is in WEBHOOK_EVENT_TYPES rather than whether any delivery rows were actually created.
B2SET-01	create_webhook_endpoint passes active=True explicitly although WebhookEndpoint.active already declares default=True, so the argument restates the column default.
B2TD-01	docs/webhooks.md describes the deliveries route as returning the most recent attempts for an endpoint belonging to your organization, a scoping the list_deliveries handler does not implement.
B2TD-02	the test module defines its test secret as the literal "whsec_testsecret", duplicating signing.SECRET_PREFIX instead of deriving the value from the constant the same file imports.
DELIVERY-01	deliver backs off with the blocking time.sleep(delay) inside an async coroutine, stalling the event loop and every other gathered delivery for the duration.
DELIVERY-02	_claim_batch returns ORM rows loaded inside with session_scope(), so later attribute reads in deliver and send_once touch detached, expired instances.
DELIVERY-03	deliver loads the endpoint inside a session_scope block that closes before send_once reads endpoint.signing_secret and endpoint.url from the detached instance.
DELIVERY-04	_acquire_lock reads LOCK_KEY and then sets it as separate operations, so two workers that both observe an empty key both acquire the lock.
DELIVERY-05	_acquire_lock issues set and expire as two separate commands, so a crash between them leaves LOCK_KEY with no TTL and blocks all further delivery.
DELIVERY-06	run_worker's finally calls redis_client.delete(LOCK_KEY) with no ownership or fencing check, so a worker that overran the TTL deletes a lock another worker holds.
DELIVERY-07	the 60-second LOCK_KEY TTL is shorter than a batch's worst-case runtime, so the lock can expire mid-batch and a second worker starts processing the same rows.
DELIVERY-08	_claim_batch selects pending rows with no FOR UPDATE SKIP LOCKED and no conditional update, so concurrent claimers can select and deliver the same rows.
DELIVERY-09	rows flipped to in_flight by _claim_batch are moved on only by _finish and nothing resets stale in_flight rows, so a crash or unhandled exception strands them outside the pending query permanently.
DELIVERY-10	retry state is held in the local attempt counter and attempts/next_attempt_at are written only by the terminal _finish, so progress is lost across restarts and the next_attempt_at schedule is never used.
DELIVERY-11	deliver treats every response outside 200-299 as retryable and re-POSTs it up to MAX_ATTEMPTS, so a 4xx is retried instead of being marked permanent immediately.
DELIVERY-12	backoff_for returns exactly BASE_DELAY_SECONDS ** attempt seconds with no randomisation, so there is no jitter and deliveries failing together retry at the same instants.
DELIVERY-13	enqueue_for_event writes next_attempt_at=datetime.utcnow(), a naive value, while _claim_batch compares against the aware datetime.now(timezone.utc).
DELIVERY-14	_finish assigns row.status immediately after session.get without a None check, raising AttributeError when the delivery row no longer exists.
DELIVERY-15	deliver passes the result of session.get(m.WebhookEndpoint, ...) to send_once with no None check, so a deleted endpoint row raises AttributeError inside the retry loop.
DELIVERY-16	deliver catches only httpx.HTTPError, so any other exception — including httpx.InvalidURL, a serialisation TypeError, or a database error from _finish — escapes the retry loop with the row left in_flight.
DELIVERY-17	asyncio.gather is called without return_exceptions=True, so the first delivery to raise propagates out and its sibling coroutines are abandoned.
DELIVERY-18	batch is assigned only inside the try while if not batch is evaluated after the try/finally, so a failure in _claim_batch can reach the test with batch unbound.
