n	severity	file	title	what_is_wrong
1	Critical	app/webhooks/signing.py — new_signing_secret()	signing secrets are generated with the non-cryptographic random module	The secret is built from random.choice over an alphabet, and random is a Mersenne Twister PRNG whose state can be reconstructed from observed output, so an attacker who sees a few secrets can predict others and forge signatures.
2	Critical	app/webhooks/signing.py — verify()	signature comparison is a plain == instead of a constant-time compare	verify returns expected == signature, and Python's string equality short-circuits on the first differing byte, leaking digest prefix information through timing to a caller that can supply candidate signatures.
3	Critical	app/webhooks/signing.py — sign()	the signature does not cover the timestamp it is sent with	sign returns a timestamp and an HMAC computed only over the serialized payload, so the X-Acme-Timestamp header is unauthenticated and can be rewritten by a replayer without invalidating the signature.
4	Critical	app/webhooks/delivery.py — send_once()	the signed bytes are not the bytes that are transmitted	sign hashes json.dumps(payload, sort_keys=True) while client.post(json=...) re-serializes the payload with httpx's own encoder (different key order and separators), so the receiver recomputing the HMAC over the raw body it received gets a different digest.
5	Critical	app/webhooks/signing.py — verify()	verify recomputes a fresh timestamp and ignores the one on the request	verify calls sign again, discarding the returned timestamp and never comparing it to the request's, so the helper we publish as the reference implementation cannot enforce the replay window the docs require.
6	Critical	migrations/0042_webhook_delivery.sql — webhook_deliveries.status CHECK	the status CHECK constraint does not allow the terminal status the code writes	The CHECK permits only 'pending', 'in_flight', 'delivered', 'failed', while _finish writes 'failed_permanent', so every permanently failed delivery raises a constraint violation instead of being recorded.
7	Critical	migrations/0042_webhook_delivery.sql — idx_webhook_deliveries_event	the unique index on event_id alone allows only one delivery row per event	UNIQUE (event_id) makes a second insert for the same event_id fail, so an org with two subscribed endpoints cannot have both deliveries enqueued and the whole add_all aborts.
8	Critical	app/webhooks/delivery.py — deliver()	time.sleep blocks the event loop inside an async coroutine	deliver awaits httpx but then calls the synchronous time.sleep(delay) for backoff, which halts the entire event loop so every other delivery in the asyncio.gather and the worker itself stall for up to 16 seconds per retry.
9	Critical	app/webhooks/delivery.py — _claim_batch()	ORM rows are returned after their session has closed	_claim_batch returns the query results from inside the with session_scope() block, so by the time deliver reads row.payload, row.attempts or row.id the instances are detached and expired and attribute access raises DetachedInstanceError.
10	Critical	app/webhooks/delivery.py — deliver()	the endpoint object is used outside the session that loaded it	endpoint = session.get(...) is assigned inside the with block and then endpoint.signing_secret and endpoint.url are read after the session closed, so the attribute load fires against a dead session.
11	Critical	app/api/routes/settings.py — list_deliveries()	the deliveries endpoint never checks that the endpoint belongs to the caller's org	The query filters only on endpoint_id taken from the path, so any authenticated user can enumerate delivery history, event ids and event types for any other organization's endpoints.
12	Critical	app/webhooks/models.py — WebhookEndpoint.to_dict()	to_dict exposes the signing secret on every read path	to_dict includes signing_secret, and list_webhook_endpoints returns it for all endpoints, so the shared HMAC key is handed out on every GET rather than only at creation.
13	Critical	app/api/routes/settings.py — create_webhook_endpoint()	registered URLs are not restricted to public hosts, giving SSRF	The only check is a scheme prefix and a non-empty netloc, so a user can register http://127.0.0.1/ or http://169.254.169.254/latest/meta-data and have the worker POST to internal services from inside the network.
14	Major	app/webhooks/delivery.py — run_worker()	follow_redirects=True lets a receiver bounce the signed payload to another host	The AsyncClient is constructed with follow_redirects=True, so a 302 from a customer endpoint causes httpx to re-send the payload and the signature headers to an arbitrary destination the user never registered.
15	Critical	app/webhooks/delivery.py — _acquire_lock()	the distributed lock is acquired with a non-atomic get-then-set	_acquire_lock reads LOCK_KEY, then sets it, so two workers that both read a missing key both proceed and dispatch the same batch, duplicating every delivery.
