id	review	part	severity	file	title	what_is_wrong
H0001	1	0	Critical	`src/audit/guard.ts` — `const MUTATIONS = new Set([...])` and the new `if (!MUTATIONS.has(	`createMany` is absent from `MUTATIONS`, so the audit guard is fail-open for a whole Prisma action class	the mutation set is a hand-written list (`create, update, delete, deleteMany, updateMany, upsert`) that omits `createMany` — the very action the diff's own new caller uses at `src/import/bulk.ts:118` (`prisma.importStaging.createMany`) — plus `createManyAndReturn`, `updateManyAndReturn` and the raw-query surface, so `a
H0002	1	0	Critical	`src/context/request.ts` — `enterSystemOperation()` (`ctx.skipAudit = true`), consumed at 	`enterSystemOperation` sets the audit-suspension flag on the caller's shared context and never restores it	the grant is written into the single `RequestContext` object held by `AsyncLocalStorage` for the whole request, and there is no exit, release, or `finally` anywhere in the diff, so the suspension's lifetime is the request rather than the staging call it was granted for.
H0003	1	0	Critical	`src/import/bulk.ts` — `applyBatch`, the `prisma.membership.upsert` `update: { displayName	an org admin can promote any account, including their own, to `owner`	the route admits callers whose role is `admin`, the parser accepts `owner` as a valid row role, and the upsert writes that role with no comparison against the caller's own rank, so nothing in the change constrains which roles an admin may hand out.
H0004	1	0	Major	`docs/import.md` — the `## Auditing` section ("The staging writes are the single exception	the docs state the promotion step is audited and that every membership change writes an audit record; neither is true as implemented	two independent claims exceed the implementation — the promotion step is *not* audited because the `skipAudit` grant leaks past `stageRows`, and the staging writes are not "the single exception" because `createMany` is outside the guard's action set entirely, so the exception mechanism is not what is actually letting t
H0005	1	0	Major	`src/routes/import.ts` — `const csv = await req.text(); if (csv.length > MAX_CSV_BYTES)`; 	the 5 MB cap is measured in UTF-16 code units and applied after the entire body is buffered	`req.text()` has already read and decoded the whole request body into memory before the check runs, and `String.prototype.length` counts UTF-16 code units rather than bytes, so a CSV of multibyte display names passes a `5 * 1024 * 1024` test at roughly three times that many bytes on the wire.
H0006	1	0	Major	`src/routes/import.ts` — `requestId: req.headers.get("x-request-id") ?? crypto.randomUUID(	the batch key is derived from a client-supplied header, so two imports in one org can collide	the only key scoping the staging rows is `batch_id`, and its non-org half is a value the caller names in a request header, so a replayed or deliberately reused `x-request-id` within the same org yields two concurrent imports sharing one batch.
H0007	1	0	Major	`src/import/bulk.ts` — `runImport` (`stageRows` → `applyBatch` → `deleteMany` as three ind	no transaction, and staged member data leaks permanently when the import fails partway	the promotion and the cleanup are separate uncoordinated statements with no `$transaction` and no `try/finally`, so a throw inside `applyBatch` leaves some memberships already upserted and skips the `deleteMany` entirely, and `stageRows`'s chunk loop commits each 200-row chunk independently so a mid-loop failure leaves
H0008	1	0	Major	`test/import/parse.test.ts` — the only test file in the diff; untested new exports are `en	the audit control and the route this change adds ship with no tests at all	the nine tests cover `parseRows` alone, so the change's security-relevant surface — a modified audit guard, a new suspension mechanism, and a new privileged endpoint — has no test that could fail if any of it regressed.
H0009	1	0	Minor	`src/import/parse.ts` — `const iEmail = cols.indexOf("email")` and `email: (f[iEmail] ?? "	`parseRows` reports a malformed header as a file full of rejected rows	when the header lacks an `email` column, `iEmail` is `-1`, `f[-1]` is `undefined`, and every row is built with `email: ""`, which `applyBatch`'s `row.email.includes("@")` check then rejects one by one.
H0010	1	0	Minor	`src/import/parse.ts` — `csv.split(/\r?\n/)` applied before `splitLine`	`parseRows` splits on newlines before parsing quotes, and the quoting tests do not reach it	`splitLine` implements RFC 4180 quoting including doubled-quote escapes, but the line split runs first, so a quoted field containing a newline is cut into two rows and the quote state does not carry across.
H0011	1	0	Minor	`src/context/request.ts` — `contextSnapshot()`	`contextSnapshot` is exported, unused, and its `Readonly` is a compile-time marker only	no code in the diff calls it, and `Readonly<RequestContext>` over a spread copy prevents nothing at runtime while also copying `skipAudit` forward into the snapshot.
H0012	1	1	Critical	src/context/request.ts — `enterSystemOperation` (and its only caller, `stageRows` in src/i	`enterSystemOperation` mutates the live request context, so the audit bypass leaks over the whole import request	`currentContext()` returns the live `AsyncLocalStorage` store object, not a copy, so `ctx.skipAudit = true` mutates the frame `runWithContext` opened in the route, and nothing anywhere restores it — the grant's lifetime is the request, not the `createMany` it was granted for.
H0013	1	1	Critical	src/audit/guard.ts — `const MUTATIONS = new Set([...])` and the new `if (!MUTATIONS.has(ac	the new `MUTATIONS` allowlist omits `createMany` and the raw-query actions, so those writes now skip the audit control application-wide	the set was written from a hint rather than derived from the driver's action enum — `createMany` is missing (as are `createManyAndReturn`, `updateManyAndReturn`, `executeRaw`, `queryRawUnsafe`), and the new early return converts every unlisted action from "checked" (the previous behaviour, which checked every action th
H0014	1	1	Critical	src/import/parse.ts — `ALLOWED_ROLES`; src/import/bulk.ts — `applyBatch` upsert; src/route	an org admin can grant and revoke `owner` through the CSV	the route admits `admin` and `owner` as distinct tiers, but `ALLOWED_ROLES` accepts `"owner"` from the uploaded file and `applyBatch` writes it verbatim in both the `create` and the `update` branch, so the actor's own privilege never bounds the privilege they hand out.
H0015	1	1	Major	src/import/bulk.ts — `runImport` (`stageRows` / `applyBatch` / `deleteMany`)	the three import phases commit independently, so a failure strands staged rows forever	staging, promotion and cleanup are separate commits — and `stageRows` itself commits once per 200-row chunk — so any throw between them leaves the batch half-applied with its scratch rows still in `import_staging`, which migrations/0058_import.sql gives no TTL, no cleanup job and no `org_id` to sweep by.
H0016	1	1	Major	src/import/bulk.ts — `const batchId = \`${ctx.orgId}-${ctx.requestId}\``; src/routes/impor	`batchId` is built from a client-supplied header, so two concurrent imports in one org can process and delete each other's rows	the batch key is a caller-nameable value taken unvalidated and unbounded from `x-request-id`, and every subsequent query — `findMany({ where: { batchId } })` and `deleteMany({ where: { batchId } })` — re-resolves the batch from that name rather than from the identity of the rows this request staged.
H0017	1	1	Major	src/routes/import.ts — `const csv = await req.text(); if (csv.length > MAX_CSV_BYTES)`	the 5 MB limit is neither a byte limit nor applied before the body is buffered	`req.text()` has already read and decoded the entire body into memory before the check runs, and `String.prototype.length` counts UTF-16 code units, so a constant named `MAX_CSV_BYTES` admits roughly three times that many bytes of non-ASCII UTF-8.
H0018	1	1	Major	src/import/parse.ts — `parseRows`, the `const [header, ...body] = lines` / `cols.indexOf("	an empty or column-shifted CSV either crashes the request or silently rejects every row	for an empty body `lines` is `[]`, so `header` is `undefined` and `splitLine(undefined)` dereferences `line.length` and throws a `TypeError`; and when the header is present but the `email` column is absent — the ordinary case of an Excel export, whose UTF-8 BOM makes the first column name `"﻿email"` — `iEmail` is `-1`,
H0019	1	1	Major	test/import/parse.test.ts — the only test file in the diff	the audit-guard change and every new export except the parser ship with no test	the diff adds two new branches to the security control itself (`assertAudited`'s `MUTATIONS` early return and its `skipAudit` early return) plus the exports `enterSystemOperation`, `contextSnapshot`, `runImport` and the `POST` route, and the entire test file covers only `parseRows`.
