batch	review	arm	part	agent_id	model	tool_calls	tool_errors	output_git_blob_sha1
1	1	N	a	acb5aa82396fe66c7	claude-opus-5	12	0	e0bebc4c2766969603954e84c79005cc9d448b02
1	1	N	b	a38643e525fca0ac4	claude-opus-5	10	0	5804a2b4fe218a3ae88f0b1b2ef8ed3f925244db
1	1	N	c	a2d45ba9601413f34	claude-opus-5	7	0	e1bc3858130bc3fc6c8d0f4c14f0f9623557a507
1	1	W	a	a5e8d7dd9309385a1	claude-opus-5	9	0	d37e3765734c7ba93e382914da29c2047b6bd310
1	1	W	b	ab544f7206da9ff8b	claude-opus-5	9	0	c6c3ac0431ce53f09ae0fa80c7434e37b17ee861
1	1	W	c	adb8b7040590a65c3	claude-opus-5	8	0	4e760defafdce612764167983cd90f2e6171b736
2	2	N	a	ae44d31ba5fd62831	claude-opus-5	11	0	4328bf3957e732adcdc94b0a190e1081364d31a3
2	2	N	b	a48f25e05aaf4da67	claude-opus-5	10	0	41dc84306659fc12bb11e002fa48ada907c777af
2	2	N	c	a6f92137b055b92bc	claude-opus-5	11	0	57f9b31a0a7ce95856dc11c09a85ceab9ce79746
2	2	W	a	acc8c9431a347c8e3	claude-opus-5	8	0	d6d9e3fdf71556e0b8e21683f97a28cb70dfc5c3
2	2	W	b	aba03e199128744e0	claude-opus-5	9	0	03e1132af40977c6740b439ee2fc413a0bb123fe
2	2	W	c	abc109a9d2ceff63e	claude-opus-5	13	0	bb35bf0906c1c554ad9c488d2ddb0012a96ec7c3
3	3	N	a	ae405f757695585d3	claude-opus-5	8	0	6bddc44f95c989c656a476ca7d59a9ce3d29162e
3	3	N	b	abcbffbfd9a4201d5	claude-opus-5	10	0	7c8a010a74413eb47471e505c3ad7463c7087cf1
3	3	N	c	adf03c24bd6d992eb	claude-opus-5	11	0	b9664aac9a40f8e5371a48a7ebe7e0e17fd39831
3	3	W	a	aace2eb50fcd8b32b	claude-opus-5	13	0	a25f9639011beadc7ea0ae5138889f03e9051835
3	3	W	b	a68de6c2216f474b3	claude-opus-5	7	0	77ee62aa40079e13faab08d0599d64fbbb9f9348
3	3	W	c	a93cca4704cb00f9b	claude-opus-5	11	0	d0e88353b5b5062e567480b9d8afe41698f5dc60
4	4	N	a	a21d4b87e4a4ab2f0	claude-opus-5	8	0	cb230bc216edd392e237081242b0f4fe9e49d28e
4	4	N	b	a111992bb9ae0a7d1	claude-opus-5	10	0	7bc933d3208825433b15d9953ddebe5493abf33b
4	4	N	c	adf1a163db32dadcb	claude-opus-5	11	0	8c68dccae53b0026acfdf2d95d76628fda18b219
