cluster_id	n	member_ids	claim
BULK-01	38	F0004,F0022,F0032,F0065,F0080,F0096,F0113,F0133,F0149,F0170,F0188,F0206,F0234,F0253,F0271,F0285,F0296,F0310,F0325,F0337,F0351,F0367,F0380,F0395,F0407,F0421,F0433,F0443,F0455,F0468,F0480,F0497,F0507,F0521,F0527,F0543,F0553,F0567	`runImport` performs stage, apply and delete as independently committing steps with no transaction, and the `importStaging.deleteMany` cleanup sits on the success path only, so an error inside `applyBatch` leaves memberships partially applied and the batch's staging rows resident.
BULK-02	25	F0005,F0047,F0066,F0097,F0135,F0148,F0171,F0207,F0233,F0250,F0262,F0284,F0300,F0326,F0338,F0352,F0393,F0408,F0432,F0444,F0469,F0481,F0508,F0528,F0544	`batchId` is `${ctx.orgId}-${ctx.requestId}` where `requestId` is the unvalidated client `x-request-id` header, and `import_staging` carries no tenant column and no uniqueness constraint, so the caller names the sole key that `applyBatch`'s `findMany` and `runImport`'s `deleteMany` select on.
BULK-03	21	F0017,F0044,F0075,F0215,F0246,F0267,F0294,F0309,F0324,F0336,F0349,F0365,F0376,F0392,F0405,F0418,F0441,F0466,F0515,F0551,F0565	Nothing bounds the role a CSV row grants against the actor's own role: the route admits `session.role === "admin"`, `ALLOWED_ROLES` accepts `"owner"`, and `applyBatch` writes `row.role` into both the create and update branches of the membership upsert.
BULK-04	9	F0116,F0154,F0186,F0255,F0276,F0401,F0415,F0438,F0476	The only email validation in the change is `applyBatch`'s `row.email.includes("@")`, applied inside the promotion loop rather than at the parse boundary, and it admits values such as `"@"`, `"a@"`, and addresses with no length or format bound.
BULK-05	8	F0010,F0038,F0063,F0094,F0134,F0169,F0209,F0238	The upsert's `update` branch unconditionally rewrites `role` on an existing membership while `parseRows` coerces a missing or unrecognised role cell to the literal `"member"`, so a CSV that omits the role column silently demotes existing members.
BULK-06	7	F0009,F0037,F0101,F0210,F0235,F0356,F0373	`applyBatch` loads the whole batch with an unbounded `findMany` and issues one awaited `upsert` per row inside the HTTP request, with no row-count cap and none of the chunking `stageRows` applies.
BULK-07	7	F0071,F0102,F0139,F0319,F0387,F0449,F0475	`stageRows` increments `staged` by `chunk.length` instead of the `count` returned by `createMany`, so `ImportSummary.staged` reports rows submitted rather than rows inserted.
BULK-08	5	F0132,F0303,F0419,F0467,F0552	`docs/import.md` and the `applyBatch` docstring state that the staging writes are the single audit exception and that the promotion step runs audited as normal, which the implementation does not deliver.
BULK-09	5	F0176,F0244,F0306,F0547,F0561	Nothing de-duplicates parsed rows by email, so the same address listed twice in one CSV is upserted twice and increments `applied` twice for a single resulting membership.
BULK-10	4	F0011,F0031,F0205,F0420	`runImport` stages, promotes and deletes the batch inside one request and no route exposes a staged batch, so the "operator can inspect before applying" step that `docs/import.md` and the `stageRows` comment describe has no backing path.
