n	severity	file	title	what_is_wrong
1	Critical	app/api/routes/settings.py — list_deliveries()	delivery listing is not scoped to the caller's organization	The query filters only on endpoint_id taken from the URL path, so any authenticated user can read the delivery rows of any other organization's endpoint by guessing an integer id.
2	Major	app/api/routes/settings.py — create_webhook_endpoint()	scheme check accepts plain http and any scheme that merely starts with "http"	`parsed.scheme.startswith("http")` passes `http://`, `httpx://` and `httpfoo://`, so non-TLS and bogus schemes are stored as delivery targets.
3	Major	app/api/routes/settings.py — create_webhook_endpoint()	no host validation on a URL the server will later fetch	The route stores any netloc the user supplies, including `localhost`, `127.0.0.1` and `169.254.169.254`, and the worker then POSTs signed internal requests to it.
4	Major	app/api/routes/settings.py — list_deliveries() limit	limit query parameter has a lower bound but no upper bound	`Query(50, ge=1)` lets a caller pass `limit=100000000`, so a single request can pull an unbounded number of rows including their full JSONB payloads.
5	Major	app/api/routes/settings.py — create_webhook_endpoint()	201 body is built from a flushed-but-uncommitted row	`to_dict()` is returned inside the `with session_scope()` block after only `flush()`, so a failure at commit time still hands the client a 201 with an id and secret for a row that was rolled back.
6	Minor	app/api/routes/settings.py — EndpointIn	url and event_types are unvalidated free-form strings	`url: str` and `event_types: list[str]` carry no length bound, format, or membership check, so arbitrarily long strings and unknown event names are persisted.
7	Minor	app/api/routes/settings.py — create_webhook_endpoint()	no cap on endpoints per organization	Nothing limits how many endpoints one org can register, so a loop of POSTs multiplies every future event into unbounded delivery rows and outbound requests.
8	Minor	app/api/routes/settings.py — list_webhook_endpoints()	endpoint listing has no pagination	The handler calls `.all()` over every endpoint of the org with no limit or ordering, so response size grows without bound.
9	Major	app/events/dispatcher.py — dispatch()	webhook enqueue happens in a transaction separate from the event insert	The event row is committed when `session_scope()` exits and only afterwards is `enqueue_for_event` awaited, so a crash in between leaves a persisted event with no delivery rows and no outbox to recover it.
10	Major	app/events/dispatcher.py — dispatch() except Exception	enqueue failure is swallowed as a warning and the event reports success	Any exception from `enqueue_for_event` is caught, logged at WARNING, and `dispatch` returns the event id, so webhook deliveries are dropped silently with no retry or failure signal to the caller.
11	Major	app/events/dispatcher.py — WEBHOOK_EVENT_TYPES	a hardcoded allowlist silently overrides per-endpoint subscriptions	Only the three literal types in `WEBHOOK_EVENT_TYPES` ever reach `enqueue_for_event`, so an endpoint that subscribed to any other event type, or to all types via an empty list, receives nothing and gets no error.
12	Major	app/events/dispatcher.py — dispatch() subscriber loop	a raising in-process subscriber prevents webhook enqueue for an already-committed event	`await subscriber(envelope)` runs unguarded before the webhook block, so one failing subscriber propagates out of `dispatch` after the event was committed and the webhook rows are never created.
13	Critical	app/webhooks/delivery.py — enqueue_for_event()	naive datetime.utcnow() written into a timezone-aware column and compared against an aware value	`next_attempt_at=datetime.utcnow()` stores a naive timestamp while `_claim_batch` filters with `datetime.now(timezone.utc)`, so the comparison mixes naive and aware datetimes and the stored instant is wrong by the UTC offset.
14	Critical	app/webhooks/delivery.py — _claim_batch()	ORM rows are returned after their session has been closed	The rows are loaded inside `with session_scope()` and returned once the block exits, so every later attribute read in `deliver` (`delivery.attempts`, `delivery.payload`, `delivery.id`) touches a detached instance.
15	Critical	app/webhooks/delivery.py — deliver()	endpoint is loaded in a session that closes before it is used	`endpoint = session.get(...)` is the whole body of the `with` block, and `endpoint.signing_secret` / `endpoint.url` are then read in `send_once` outside any session.
16	Major	app/webhooks/delivery.py — deliver()	missing None check on the endpoint lookup	If the endpoint row was deleted after the delivery was enqueued, `session.get` returns None and `send_once` dereferences `endpoint.signing_secret`, raising AttributeError instead of failing the delivery.
17	Critical	app/webhooks/delivery.py — deliver() retry sleep	time.sleep() inside an async function blocks the event loop	The retry pause uses the blocking `time.sleep(delay)` rather than `asyncio.sleep`, so one retrying delivery freezes every other coroutine gathered in the same batch as well as the worker loop.
18	Critical	app/webhooks/delivery.py — _acquire_lock()	lock acquisition is a non-atomic GET followed by SET	Two workers that both observe an empty `LOCK_KEY` before either writes it will both return True, so the batch claim the lock is meant to serialize runs concurrently.
19	Major	app/webhooks/delivery.py — _acquire_lock()	TTL is set in a separate command from the lock value	`set` and `expire` are two round trips, so a crash or connection drop between them leaves `webhooks:dispatch:lock` with no expiry and the worker pool permanently blocked.
20	Critical	app/webhooks/delivery.py — run_worker() lock lifetime	the 60s lock TTL is shorter than a batch can take and release is unfenced	A single delivery can span five 30s-timeout attempts plus 30s of sleeps, so the lock expires mid-batch, another worker starts, and the `finally: redis_client.delete(LOCK_KEY)` then deletes the lock the second worker now holds.
21	Major	app/webhooks/delivery.py — run_worker() asyncio.gather	gather without return_exceptions aborts the whole batch on one failure	The first delivery to raise anything propagates out of `gather`, so the remaining coroutines are abandoned mid-flight and their rows stay `in_flight`.
22	Major	app/webhooks/delivery.py — run_worker()	the worker loop has no exception handling and exits permanently on the first error	A Redis outage in `_acquire_lock`, a DB error in `_claim_batch`, or any exception escaping `gather` propagates out of `run_worker`, ending the only dispatch loop with no restart or backoff.
23	Critical	app/webhooks/delivery.py — _claim_batch() / _finish()	rows marked in_flight are never reset, so an interrupted delivery is never retried	`_claim_batch` flips status to `in_flight` and only `_finish` moves it out, so any crash, cancellation, or exception path leaves the row stuck in `in_flight`, which the pending filter never selects again.
24	Major	app/webhooks/delivery.py — deliver()	retries are held in-process instead of rescheduled through next_attempt_at	The `while True` loop keeps the delivery in memory and writes `attempts` only once at `_finish`, so the persisted `next_attempt_at` schedule is never used and a process restart loses every attempt already made.
25	Major	app/webhooks/delivery.py — deliver()	4xx responses are retried like transient failures	Any status outside 200-299 falls through to the retry branch, so a 400 or 404 is re-POSTed up to MAX_ATTEMPTS instead of being marked permanent immediately.
26	Major	app/webhooks/delivery.py — run_worker() AsyncClient	follow_redirects=True re-sends the signed payload to a redirect target	The client follows 3xx responses, so a registered endpoint can answer with a Location header and have the signed body and signature delivered to an arbitrary host, including internal addresses.
