cluster_id	n	claim
R24DEL-01	1	The rule that an empty event_types subscribes an endpoint to every event type exists only as the inline expression `not endpoint.event_types or event_type in endpoint.event_types` inside enqueue_for_event, with no named helper or test, while docs/webhooks.md states it as a customer-facing contract.
R24DEL-02	1	enqueue_for_event matches event_type against endpoint.event_types with an exact `in` comparison over unvalidated JSONB content, so the match is case- and whitespace-sensitive and becomes a substring test if the stored value is a bare string rather than a list.
R24DEL-03	1	run_worker awaits asyncio.sleep(poll_interval) only when the claimed batch was empty, so after a non-empty batch the loop immediately re-acquires the lock and re-queries with no delay.
R24DEL-04	1	run_worker's `if not batch: await asyncio.sleep(poll_interval)` sits after the finally that deletes LOCK_KEY, so the empty-batch back-off is taken with the lock already released and the loop re-acquires the lock once per poll.
R24DEL-05	1	enqueue_for_event, _claim_batch and _finish write through session_scope with no flush or commit of their own, relying on the scope's commit-on-exit semantics, while create_webhook_endpoint in the same change calls session.flush() explicitly.
R24MOD-01	4	WebhookDelivery.to_dict calls self.next_attempt_at.isoformat() with no None guard, unlike the sibling fields it passes through raw, so serializing a row whose next_attempt_at is unset raises AttributeError.
R24MOD-02	2	The ForeignKey declarations on WebhookEndpoint.org_id and WebhookDelivery.endpoint_id omit ondelete="CASCADE" while migration 0042 declares ON DELETE CASCADE, so the ORM-level delete behaviour and any schema built from the model metadata differ from the migration's DDL.
R24MOD-03	1	An empty WebhookEndpoint.event_types list is the column default at both the model and the SQL level and is also read by enqueue_for_event as "subscribe to every event type", so one in-band value carries both "not configured yet" and "send everything".
R24MOD-04	1	Each WebhookDelivery row stores its own full copy of the event payload, so an event fanned out to N endpoints persists N copies of the payload in addition to the one on the event row.
R24SET-01	1	An empty event_types list is an in-band sentinel that enqueue_for_event reads as "deliver every event type", colliding with the same value's legitimate meaning of subscribing to nothing.
R24SET-02	1	The three new route handlers are declared async def while their bodies perform only synchronous blocking session_scope/session.query work, so FastAPI runs that database work on the event loop instead of in the threadpool a def handler would get.
R24SET-03	3	create_webhook_endpoint builds and returns endpoint.to_dict() after session.flush() but before session_scope commits, so the 201 body including the id and signing secret is produced from an uncommitted row.
R24SET-04	1	create_webhook_endpoint's response is built inside the session_scope block and survives only because to_dict() materializes plain values before the commit expires the instance's attributes.
R24SET-05	1	create_webhook_endpoint performs only a syntactic URL check and never probes the registered endpoint, so a 201 and a signing secret are returned for a URL that every delivery attempt will fail against.
R24SIG-01	1	signing.verify is exported and covered by tests but is called by no production code path in the change, so nothing under app/ inbound-verifies a webhook signature.
