id	arm	review	part	severity	file	title	what_is_wrong
G0001	W	1	0	Critical	`src/context/request.ts` — `enterSystemOperation` (and its only caller, `src/import/bulk.t	`enterSystemOperation` grants the audit exemption to the whole request, not to the staging write	The grant is a write to the caller's own `AsyncLocalStorage` frame (`ctx.skipAudit = true`) with no restore, no `finally`, and no call scoping, so its lifetime is the enclosing `runWithContext` frame rather than the `createMany` it was granted for.
G0002	W	1	0	Critical	`src/audit/guard.ts` — `const MUTATIONS = new Set([...])` and the new `if (!MUTATIONS.has(	`MUTATIONS` omits `createMany`, so the audit guard is fail-open for the diff's own bulk write and for every unknown action	The set is a hand-written enumeration that is missing `createMany` — the exact action `stageRows` uses — and, being a blacklist-shaped early return, it also exempts `createManyAndReturn`, `updateManyAndReturn`, `executeRaw`, `queryRaw` and any future Prisma action, converting a guard that previously ran on every middle
G0003	W	1	0	Major	`src/import/bulk.ts` — `applyBatch` `prisma.membership.upsert`; `src/import/parse.ts` — `A	an org admin can set any member's role, including `owner`, and can overwrite an existing owner's role	The route authorizes the *endpoint* for `admin` or `owner` and then applies whatever role the CSV names, with `ALLOWED_ROLES` including `owner` and the `update` branch rewriting `role` on rows that already exist, so there is no per-role authorization anywhere between the session check and the write.
G0004	W	1	0	Major	`src/import/bulk.ts` — `runImport`, `const batchId = ${ctx.orgId}-${ctx.requestId}`; `src/	the batch key is built from a client-controlled header, so concurrent imports in an org read and delete each other's staging rows	`requestId` is taken verbatim from the `x-request-id` request header with no validation or uniqueness guarantee, and `applyBatch`/`deleteMany` select staging rows by `batchId` alone, so two requests that present the same header value in the same org address the same row set.
G0005	W	1	0	Major	`src/import/bulk.ts` — `runImport`, `applyBatch`	stage → apply → delete are three independent commits with no transaction and no failure-path cleanup	`applyBatch` reads the staged rows with `findMany` and then writes them with a separate sequence of `upsert`s outside any transaction (the read-then-write TOCTOU shape), and `prisma.importStaging.deleteMany` sits on the success path only, so a throw anywhere in `applyBatch` skips it.
G0006	W	1	0	Major	`src/routes/import.ts` — `const csv = await req.text(); if (csv.length > MAX_CSV_BYTES)`	the upload cap is checked after the whole body is buffered, and counts UTF-16 units rather than bytes	`req.text()` has already materialized the entire request body in memory before the size test runs, and `String.prototype.length` counts UTF-16 code units, so a constant named `MAX_CSV_BYTES` is compared against something that is not bytes.
G0007	W	1	0	Major	`src/import/parse.ts` — `parseRows`, `const [header, ...body] = lines;` and `cols.indexOf(	`parseRows` throws on an empty body and silently produces empty emails when the header lacks a column	For an empty or all-blank upload `lines` is `[]`, `header` is `undefined`, and `splitLine(undefined)` dereferences `line.length`; when the header has no `email` column, `iEmail` is `-1`, `f[-1]` is `undefined`, and every row becomes `{ email: "" }` instead of an error.
G0008	W	1	0	Major	`src/audit/guard.ts` — `assertAudited` and its doc comment; `docs/import.md` — the "Auditi	the audit control is described, in code and in docs, as stronger than what it checks	The name and both prose claims ("A write that carries no audit intent is refused", "the Prisma middleware refuses any mutating query that does not carry one", "the promotion step runs audited as normal") assert that a mutation without an audit *record* is refused, while the implementation only tests that `ctx.actorId` 
G0009	W	1	0	Major	`test/import/parse.test.ts` — the only test file in the diff; `src/audit/guard.ts`, `src/c	the change modifies a security control and adds three new production exports with no test touching any of them	The diff adds `enterSystemOperation`, `contextSnapshot`, `runImport` and the `POST` handler and materially changes `assertAudited`, yet every one of the nine new tests exercises `parseRows`, so the audit guard's new early return and the exemption flag ship with zero coverage (RT6), and no test proves the guard can stil
G0010	W	1	0	Minor	`src/context/request.ts` — `contextSnapshot`	`contextSnapshot` is exported and unused, and its `Readonly<>` is compile-time only	Nothing in the diff calls it, and the returned `Readonly<RequestContext>` is a plain shallow copy that any caller can mutate after a cast, so the name promises an immutability the runtime does not provide.
G0011	W	1	0	Minor	`migrations/0058_import.sql` — `CREATE TABLE import_staging`	`import_staging` has no tenancy column, no role constraint, and no retention path	The table stores member email addresses with no `org_id`, no `CHECK` restricting `role` to the values `parse.ts` allows, and no mechanism that removes rows for a batch whose apply step never completed.
G0012	W	1	0	Minor	`src/import/bulk.ts` — `applyBatch`, the `for (const row of staged)` loop	a 5 MB upload is applied one awaited `upsert` at a time	Staging is chunked at 200 rows but promotion is a sequential round-trip per row, and a 5 MB CSV is on the order of 10^5 rows.
G0013	W	1	1	Critical	src/context/request.ts — `enterSystemOperation`; consumed at src/audit/guard.ts — `assertA	`enterSystemOperation` leaks the audit suspension to the rest of the request, so the audited promotion step is not audited	`enterSystemOperation` sets `skipAudit = true` on the object `currentContext()` returns — the same object held in the `AsyncLocalStorage` store, not a copy — and nothing ever clears it, so the grant's lifetime is the whole request rather than the staging write it was granted for (R54).
G0014	W	1	1	Critical	src/audit/guard.ts — `const MUTATIONS = new Set([...])` and `if (!MUTATIONS.has(action)) r	the new `MUTATIONS` allowlist omits `createMany`, so the audit guard is fail-open for the very write the importer performs	the guard previously decided on every action the Prisma middleware handed it and now returns early for any action outside a hand-written six-name list, and `createMany` — used at `src/import/bulk.ts:stageRows` — is not in the list, so the member set was anchored on a supplied enumeration rather than derived from the mu
