# per-agent token counts, derived by _ledger.py from session transcripts
# transcript manifest sha1: db1935b7ba8a0218c5f9de3402f885c457ec418a  (572 agents)
# uncached/cc5m/cc1h/cache_read/output: summed over requests, final row per requestId.
# ctx_final: the last request's context — this is what a task notification reports.
# reported: subagent_tokens as the task notification stated it (0 = not found).
# cc_after_gap: cache creation on a request >5min after the previous one.
# bytes_*: tool-result bytes by the material the call pulled in (not tokens).
round	role	arm	review	part	session	agent	t0	requests	tools	uncached	cc5m	cc1h	cache_read	output	ctx_final	reported	cc_after_gap	bytes_catalogue	bytes_diff	bytes_harness	bytes_other
0	other	0	0	0	e392c887	aab4d00dec257ce3c	2026-08-08T11:20:18.920Z	44	43	84	191946	0	2532287	46483	85891	86464	85889	0	24392	0	0
0	seed	0	0	0	e392c887	ae7422ae75f76bc00	2026-08-08T11:46:00.737Z	5	4	10	65741	0	111431	410	52128	52160	0	0	23125	3348	0
0	seed	0	0	0	e392c887	a68012f79cf801bec	2026-08-08T11:46:00.987Z	4	3	8	40306	0	81729	16699	48750	48776	0	0	23125	3346	0
0	seed	0	0	0	e392c887	ad9b287292672afcd	2026-08-08T11:46:01.964Z	4	3	8	42593	0	81776	19054	51037	51069	0	0	23125	3346	0
0	seed	0	0	0	e392c887	a78651239873e5c73	2026-08-08T11:46:04.225Z	4	3	8	37166	0	83324	15219	47191	47217	0	0	23125	3346	0
0	seed	0	0	0	e392c887	abc963d6c1615631c	2026-08-08T11:46:09.789Z	4	3	8	36221	0	83303	111	46246	46272	0	0	23125	3346	0
0	other	0	0	0	e392c887	a4a99ac1c0b94d111	2026-08-08T11:56:24.069Z	7	7	13	181157	0	287337	44394	117629	117707	8135	0	23125	3236	107062
0	adjudicate	0	0	0	e392c887	abc8de526f5a5e204	2026-08-08T12:09:15.122Z	5	5	10	36462	0	133652	9893	46487	46547	0	0	23125	2893	11513
0	adjudicate	0	0	0	e392c887	a23045d50ebb03e97	2026-08-08T12:09:17.066Z	5	5	10	38067	0	135345	624	48092	48152	0	0	23125	2777	11513
0	adjudicate	0	0	0	e392c887	a16402105ec1c9b62	2026-08-08T12:09:19.139Z	7	6	14	44786	0	231892	18672	54811	54874	0	0	23125	2755	11544
0	other	0	0	0	e392c887	a6ac4ddd6bee8e940	2026-08-08T12:45:34.603Z	10	17	4420	158813	0	343989	36152	101193	101379	91168	50976	23125	4232	31202
0	other	0	0	0	e392c887	ae3a7e187da6cc84e	2026-08-08T12:45:36.720Z	7	10	4414	113274	0	188212	25631	78836	78896	68811	50781	23125	4232	0
0	other	0	0	0	e392c887	af7e3473c3e6c53f1	2026-08-08T12:45:39.587Z	6	10	4412	110533	0	145120	24037	75151	75225	65126	50659	23125	4232	0
0	other	0	0	0	e392c887	abdb35012f08365db	2026-08-08T12:45:42.421Z	7	9	4414	132933	0	199856	33160	90076	90115	80051	41833	23361	4336	28828
0	other	0	0	0	e392c887	a07022684e546b159	2026-08-08T12:45:44.768Z	6	8	11	116092	0	149892	2345	82584	82617	0	51240	23125	4232	0
0	other	0	0	0	e392c887	a29b430489c10f37a	2026-08-08T12:45:46.900Z	7	9	13	115544	0	203016	30842	81147	81193	71122	50031	23125	4232	0
0	other	0	0	0	e392c887	a4a5b3b1b7f20ae34	2026-08-08T13:04:02.829Z	6	8	12	56390	0	210667	21490	66415	66450	0	27417	23125	5048	6793
0	other	0	0	0	e392c887	aaf0de9a7b05cce52	2026-08-08T13:04:05.857Z	7	10	13	63199	0	263464	22809	73224	73289	0	43053	23125	5048	6762
0	other	0	0	0	e392c887	ae58ed31e3db6e79f	2026-08-08T13:04:09.513Z	6	9	11	65085	0	219451	28014	75109	75157	15027	32061	23125	5048	6762
0	other	0	0	0	e392c887	a82e83850a704099b	2026-08-08T13:04:12.514Z	5	7	10	58720	0	151619	22033	68745	68788	0	31926	23125	5257	6762
0	other	0	0	0	e392c887	a69ee19183c11a9a0	2026-08-08T13:04:14.881Z	5	7	10	56195	0	148596	20212	66220	66251	0	30467	23125	5257	6762
0	other	0	0	0	e392c887	adb8a5265eae3efae	2026-08-08T13:04:17.993Z	6	8	12	61343	0	219629	16087	71368	71399	15023	25987	23125	5257	15413
0	other	0	0	0	e392c887	ae2e292bfa29c9c8a	2026-08-08T13:04:25.617Z	8	10	15	65552	0	314316	26037	75577	75649	0	39691	23125	5559	6543
0	other	0	0	0	e392c887	a145b592a024766a3	2026-08-08T13:04:28.809Z	7	9	1343	64927	0	245452	26988	74951	75008	0	35515	23125	5048	6543
0	other	0	0	0	e392c887	a0fc55e0abbe6144a	2026-08-08T13:04:31.623Z	7	9	1343	65016	0	245970	27394	75040	75102	0	35398	23125	5048	6543
0	other	0	0	0	e392c887	ade3d7eee5a23f757	2026-08-08T13:04:34.969Z	6	7	12	63040	0	190617	26845	73065	73100	0	31101	23359	5257	6543
0	other	0	0	0	e392c887	abf753636031d83e2	2026-08-08T13:04:38.831Z	6	11	4412	60165	0	202992	914	70190	70230	0	38442	23359	5257	6543
0	other	0	0	0	e392c887	a5e2bc44a1c7a7780	2026-08-08T13:04:42.207Z	7	9	13	63420	0	254821	10844	73445	73495	0	34865	23125	5257	6543
0	other	0	0	0	e392c887	aa24e7004522b8292	2026-08-08T15:11:09.336Z	8	9	15	144282	0	245735	30199	90021	90126	0	43707	23125	4372	35220
0	other	0	0	0	e392c887	a702c87097b809b5e	2026-08-08T15:11:11.971Z	7	11	13	119685	0	194239	31908	83004	83067	0	51548	23125	4232	628
0	other	0	0	0	e392c887	a6af2c9a8f8015dee	2026-08-08T15:11:13.511Z	10	12	19	72299	0	428715	9462	82324	82408	256	51207	23125	4567	2267
round 17	review	W	1	a	e392c887	aef94536803395a90	2026-08-08T15:24:08.210Z	7	13	13	131290	0	198355	5405	89718	89794	0	66146	23125	4242	0
round 17	review	W	1	b	e392c887	ac0eeb30a211462e0	2026-08-08T15:24:10.412Z	10	16	19	138888	0	369691	29934	91383	91549	0	80684	23125	4242	0
round 17	review	W	1	c	e392c887	af2341426effae00b	2026-08-08T15:24:11.926Z	8	12	15	136484	0	266378	32720	91448	91567	0	74600	23125	4242	0
round 17	review	N	1	a	e392c887	a9f23c18a0e2526a9	2026-08-08T15:24:14.859Z	6	10	11	116030	0	149872	28339	79861	79931	0	54185	23125	4242	0
